ratio,advectionWeight,diffusionWeight,inputName,stateHash,coherenceLength,sigmaX4,sigmaX8,sigmaX12,sigmaX16,sigmaX20,sigmaX24,sigmaX28,sigmaX32,sigmaX36,sigmaX40,sigmaX44,sigmaX48,sigmaX52,sigmaX56,sigmaX60,occupiedPeak,totalCompleted,completionRatio,outOfFieldRatio,densityMax,densityMaxCell,densityMaxExSource,maxStagnation,backflowEvents,criterion1,criterion2PassCount,criterion2,criterion3Median1TwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints,criterion3,criterion4
1:4,65536,262144,straight,adbaf3fb,4,7.1312,8.5204,9.2590,9.7538,10.1181,10.5036,10.6824,10.9937,11.0265,11.1422,11.1834,11.0282,10.7207,10.1500,9.8026,4090,682212,18,70,4668,"[4,32]",2300,0,0,PASS,1,FAIL,1770,846,2157,FAIL,FAIL
1:4,65536,262144,distributed,d71971b8,4,7.7467,9.2675,9.8076,10.3255,10.6505,10.2966,10.2839,10.0598,10.1286,10.3596,10.3750,10.0664,10.5023,9.7662,9.6195,4092,851096,23,62,4600,"[4,32]",1844,0,0,PASS,1,FAIL,1770,846,2157,FAIL,FAIL
1:4,65536,262144,detour,77043ec4,4,7.3894,8.4539,9.4735,9.4610,9.6053,9.1557,9.3901,9.2670,9.2512,9.5468,9.7448,9.5732,9.8038,9.4651,9.3898,4091,740037,20,67,4537,"[4,32]",1764,0,0,PASS,1,FAIL,1770,846,2157,FAIL,FAIL
1:1,65536,65536,straight,90b403c1,4,6.1573,6.5856,6.8800,6.9807,7.1765,7.3524,7.7246,7.8700,8.1968,8.4237,8.5856,8.6838,8.6781,8.3371,8.0086,4037,1119979,30,60,4328,"[4,32]",3328,0,0,PASS,9,PASS,507,1661,3162,PASS,FAIL
1:1,65536,65536,distributed,41634d88,4,7.6769,8.2459,8.9691,9.3127,9.6133,9.6370,9.2923,9.1655,9.0223,9.2415,9.3601,9.2607,9.4548,8.7642,9.1725,4084,1268468,34,53,4284,"[4,32]",2390,0,0,PASS,9,PASS,507,1661,3162,PASS,FAIL
1:1,65536,65536,detour,ee21cf0d,4,7.6226,8.0496,8.8959,9.1412,9.1076,8.6702,9.0542,8.7334,8.7767,9.2302,9.2150,9.3735,9.4467,9.1526,9.0672,4090,825872,22,65,4264,"[4,32]",2304,0,0,PASS,9,PASS,507,1661,3162,PASS,FAIL
2:1,65536,32768,straight,c30d5737,4,4.9520,5.7163,6.0071,6.1779,6.4596,6.7176,6.9756,7.1269,7.3596,7.5890,7.7823,7.8831,7.8272,7.6346,7.2662,3950,1357837,36,54,4220,"[4,32]",3660,0,0,PASS,6,FAIL,693,2788,4769,PASS,FAIL
2:1,65536,32768,distributed,72d45d7e,4,7.3695,7.8519,8.4745,8.6726,8.9988,8.8489,8.5387,8.5653,8.6480,8.6120,8.8132,8.6366,8.7231,8.1860,8.7328,4069,1489913,40,48,4200,"[4,32]",2548,0,0,PASS,6,FAIL,693,2788,4769,PASS,FAIL
2:1,65536,32768,detour,dc45a854,4,7.5152,7.9933,8.6339,8.9430,8.9243,8.7131,8.5371,8.6613,8.6880,9.0471,9.0421,9.1116,9.4043,9.0936,8.7297,4088,851858,23,64,4188,"[4,32]",2464,0,0,PASS,6,FAIL,693,2788,4769,PASS,FAIL
4:1,65536,16384,straight,4910305d,19,0.1979,0.3545,0.4461,0.6048,2.8254,4.8748,6.5770,7.4463,7.7379,7.9861,7.9576,7.9915,8.0564,7.8878,7.2066,2656,1647739,44,47,4164,"[4,32]",3868,0,0,PASS,3,FAIL,1329,3625,5777,PASS,FAIL
