sinkWidth,ratio,advectionWeight,diffusionWeight,inputName,stateHash,coherenceLength,coherenceLengthSigma,bandCellsX4,segmentCountX4,meanSegmentWidthX4,bandCellsX8,segmentCountX8,meanSegmentWidthX8,bandCellsX12,segmentCountX12,meanSegmentWidthX12,bandCellsX16,segmentCountX16,meanSegmentWidthX16,bandCellsX20,segmentCountX20,meanSegmentWidthX20,bandCellsX24,segmentCountX24,meanSegmentWidthX24,bandCellsX28,segmentCountX28,meanSegmentWidthX28,bandCellsX32,segmentCountX32,meanSegmentWidthX32,bandCellsX36,segmentCountX36,meanSegmentWidthX36,bandCellsX40,segmentCountX40,meanSegmentWidthX40,bandCellsX44,segmentCountX44,meanSegmentWidthX44,bandCellsX48,segmentCountX48,meanSegmentWidthX48,bandCellsX52,segmentCountX52,meanSegmentWidthX52,bandCellsX56,segmentCountX56,meanSegmentWidthX56,bandCellsX60,segmentCountX60,meanSegmentWidthX60,occupiedPeak,totalCompleted,completionRatio,outOfFieldRatio,densityMax,densityMaxCell,densityMaxExSource,maxStagnation,backflowEvents,criterion2PassCount,criterion2,criterion3Median1TwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints,criterion3,criterion4
1,4:1,65536,16384,straight,deca574a,4,4,60,1,3932160,62,1,4063232,63,1,4128768,63,1,4128768,62,1,4063232,62,1,4063232,63,1,4128768,60,1,3932160,62,1,4063232,61,1,3997696,61,1,3997696,60,1,3932160,62,1,4063232,61,1,3997696,58,1,3801088,4060,526096,14,77,778,61:31,778,0,0,3,FAIL,1656,1667,2775,FAIL,FAIL
1,4:1,65536,16384,distributed,ab9b7ec2,4,4,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,62,1,4063232,61,1,3997696,63,1,4128768,62,1,4063232,62,1,4063232,60,1,3932160,60,1,3932160,4073,480314,13,77,824,4:36,732,0,0,3,FAIL,1656,1667,2775,FAIL,FAIL
1,4:1,65536,16384,detour,ca52f07e,4,4,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,64,1,4194304,62,1,4063232,63,1,4128768,60,1,3932160,61,1,3997696,4077,440604,11,78,760,4:29,665,0,0,3,FAIL,1656,1667,2775,FAIL,FAIL
1,16:1,65536,4096,straight,ffb09bda,4,4,61,1,3997696,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,61,1,3997696,57,1,3735552,56,1,3670016,54,1,3538944,48,1,3145728,42,1,2752512,3783,532781,14,74,788,61:31,788,0,0,3,FAIL,1571,1422,2280,FAIL,FAIL
1,16:1,65536,4096,distributed,7c03ae75,4,4,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,61,1,3997696,4063,500737,13,73,825,4:36,760,0,0,3,FAIL,1571,1422,2280,FAIL,FAIL
1,16:1,65536,4096,detour,0b525019,4,4,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,60,1,3932160,4054,463561,12,74,769,4:29,704,0,0,3,FAIL,1571,1422,2280,FAIL,FAIL
1,64:1,65536,1024,straight,fb60bd30,4,4,37,1,2424832,41,1,2686976,42,1,2752512,37,1,2424832,29,1,1900544,22,1,1441792,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,11,1,720896,20,1,1310720,23,1,1507328,1273,534209,14,75,844,60:31,844,0,0,6,FAIL,962,903,2214,FAIL,FAIL
1,64:1,65536,1024,distributed,bcc39232,4,4,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,63,2,2064384,57,3,1245184,48,3,1048576,33,3,720896,18,6,196608,19,3,415061,42,3,917504,55,1,3604480,52,1,3407872,45,1,2949120,29,1,1900544,3033,609313,16,66,882,57:32,882,0,0,6,FAIL,962,903,2214,FAIL,FAIL
1,64:1,65536,1024,detour,96e7e27e,4,4,58,1,3801088,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,58,1,3801088,49,2,1605632,31,2,1015808,25,4,409600,33,1,2162688,36,1,2359296,37,1,2424832,33,1,2162688,26,1,1703936,2992,551054,14,66,855,4:29,816,0,0,6,FAIL,962,903,2214,FAIL,FAIL
3,4:1,65536,16384,straight,d9c4f487,4,4,60,1,3932160,61,1,3997696,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,61,1,3997696,61,1,3997696,61,1,3997696,60,1,3932160,60,1,3932160,62,1,4063232,62,1,4063232,60,1,3932160,55,1,3604480,4039,1745174,47,45,756,58:31,756,0,0,0,FAIL,2516,1321,1158,FAIL,FAIL
3,4:1,65536,16384,distributed,857d270d,4,4,63,1,4128768,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,64,1,4194304,62,1,4063232,61,1,3997696,61,1,3997696,62,1,4063232,61,1,3997696,62,1,4063232,60,1,3932160,4071,879489,23,66,824,4:36,732,0,0,0,FAIL,2516,1321,1158,FAIL,FAIL
3,4:1,65536,16384,detour,1fb7a590,4,4,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,63,1,4128768,63,1,4128768,63,1,4128768,60,1,3932160,60,1,3932160,60,1,3932160,4073,978520,26,64,760,4:29,664,0,0,0,FAIL,2516,1321,1158,FAIL,FAIL
3,16:1,65536,4096,straight,e84e9ccd,4,4,61,1,3997696,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,59,1,3866624,52,1,3407872,44,1,2883584,30,2,983040,15,1,983040,23,1,1507328,24,1,1572864,3223,1764334,47,42,764,58:31,764,0,0,0,FAIL,2282,1154,1358,FAIL,FAIL
3,16:1,65536,4096,distributed,b555ee74,4,4,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,60,1,3932160,4056,959893,26,61,825,4:36,757,0,0,0,FAIL,2282,1154,1358,FAIL,FAIL
3,16:1,65536,4096,detour,db442084,4,4,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,58,1,3801088,4046,1047986,28,58,769,4:29,701,0,0,0,FAIL,2282,1154,1358,FAIL,FAIL
