sourceWidth,sinkWidth,ratio,advectionWeight,diffusionWeight,inputName,stateHash,w0,coherenceLength,coherenceLengthSigma,bandCellsX4,segmentCountX4,meanSegmentWidthX4,bandCellsX8,segmentCountX8,meanSegmentWidthX8,bandCellsX12,segmentCountX12,meanSegmentWidthX12,bandCellsX16,segmentCountX16,meanSegmentWidthX16,bandCellsX20,segmentCountX20,meanSegmentWidthX20,bandCellsX24,segmentCountX24,meanSegmentWidthX24,bandCellsX28,segmentCountX28,meanSegmentWidthX28,bandCellsX32,segmentCountX32,meanSegmentWidthX32,bandCellsX36,segmentCountX36,meanSegmentWidthX36,bandCellsX40,segmentCountX40,meanSegmentWidthX40,bandCellsX44,segmentCountX44,meanSegmentWidthX44,bandCellsX48,segmentCountX48,meanSegmentWidthX48,bandCellsX52,segmentCountX52,meanSegmentWidthX52,bandCellsX56,segmentCountX56,meanSegmentWidthX56,bandCellsX60,segmentCountX60,meanSegmentWidthX60,occupiedPeak,totalCompleted,completionRatio,outOfFieldRatio,densityMax,densityMaxCell,densityMaxExSource,maxStagnation,backflowEvents,criterion2PassCount,criterion2,criterion3Median1TwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints,criterion3,criterion4
1,1,4:1,65536,16384,straight,4910305d,196608,55,19,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,8,5,104857,14,5,183500,24,3,524288,21,1,1376256,2656,1647739,44,47,4164,4:32,3868,0,0,3,FAIL,1329,3625,5777,PASS,FAIL
1,1,4:1,65536,16384,distributed,e63ba5b1,917504,7,6,24,2,786432,31,1,2031616,29,2,950272,33,3,720896,31,2,1015808,30,3,655360,29,2,950272,25,2,819200,21,3,458752,24,2,786432,26,2,851968,25,2,819200,25,2,819200,29,4,475136,25,3,546133,3841,1670537,45,44,4152,4:32,2640,0,0,3,FAIL,1329,3625,5777,PASS,FAIL
1,1,4:1,65536,16384,detour,9164f600,851968,32,6,24,2,786432,36,4,589824,45,4,737280,47,3,1026730,51,3,1114112,47,2,1540096,45,4,737280,48,1,3145728,47,2,1540096,47,4,770048,48,2,1572864,49,3,1070421,49,3,1070421,45,2,1474560,35,1,2293760,4058,869584,23,63,4148,4:32,2549,0,0,3,FAIL,1329,3625,5777,PASS,FAIL
1,1,16:1,65536,4096,straight,299e6901,65536,7,52,1,1,65536,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,5,2,163840,20,2,655360,21,2,688128,502,2320885,62,30,4120,4:32,4056,0,0,2,FAIL,1887,4069,6448,PASS,FAIL
1,1,16:1,65536,4096,distributed,c21f1702,2031616,63,6,30,1,1966080,30,1,1966080,31,1,2031616,31,1,2031616,31,1,2031616,32,1,2097152,31,1,2031616,31,1,2031616,31,1,2031616,31,1,2031616,32,1,2097152,31,1,2031616,31,1,2031616,33,3,720896,39,1,2555904,2458,1861737,50,38,4116,4:32,2820,0,0,2,FAIL,1887,4069,6448,PASS,FAIL
1,1,16:1,65536,4096,detour,f99c169a,1769472,11,6,47,2,1540096,54,2,1769472,62,1,4063232,60,1,3932160,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,60,1,3932160,62,1,4063232,62,1,4063232,60,1,3932160,61,1,3997696,60,1,3932160,55,1,3604480,3962,900237,24,59,4116,4:32,2624,0,0,2,FAIL,1887,4069,6448,PASS,FAIL
1,3,4:1,65536,16384,straight,d941d6d7,196608,63,59,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,4,1,262144,1,1,65536,283,3418069,92,1,4164,4:32,3868,0,0,10,PASS,320,1948,3647,PASS,FAIL
1,3,4:1,65536,16384,distributed,7ee4d44c,1769472,63,6,24,2,786432,31,1,2031616,32,1,2097152,32,3,699050,33,5,432537,31,3,677205,28,3,611669,26,3,567978,23,3,502442,20,3,436906,24,3,524288,25,1,1638400,24,1,1572864,22,2,720896,11,2,360448,3704,2611803,70,19,4152,4:32,2640,0,0,10,PASS,320,1948,3647,PASS,FAIL
1,3,4:1,65536,16384,detour,dd1bd9c3,950272,21,6,25,2,819200,32,3,699050,46,2,1507328,48,4,786432,47,3,1026730,49,3,1070421,48,2,1572864,46,3,1004885,46,2,1507328,43,4,704512,46,3,1004885,45,3,983040,44,3,961194,39,3,851968,30,1,1966080,4051,1885058,51,36,4148,4:32,2549,0,0,10,PASS,320,1948,3647,PASS,FAIL
1,3,16:1,65536,4096,straight,7df711ba,65536,7,63,1,1,65536,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,0,0,,166,3459708,93,0,4120,4:32,4056,0,0,10,PASS,377,1265,3138,PASS,FAIL
