gapWidth,edgeFluxMax,inputName,stateHash,blockedCellCount,centralGapThroughput,detourGapThroughput,densityMaxExSource,densityMaxExSourceCell,densityMaxExSourceStep,maxStagnation,backflowEvents,capacityLimitedAmount,fluxLimitedAmount,fluxLimitedEvents,occupiedPeak,totalCompleted,completionRatio,outOfFieldRatio,remainingRatio,w0,coherenceLength,coherenceLengthSigma,criterion1,criterion2PassCount,criterion2,criterion3Median1TwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints,criterion3,criterion4
1,128,straight,14fb0281,58,447855,104420,20469,31:31,3599,640,3296,408942,372490533,208276,3035,447592,21,40,38,196608,26,6,PASS,5,FAIL,1020,1983,9015,PASS,PASS
1,128,distributed,4cfe6869,58,320116,518509,744,5:31,458,768,3295,808476,221353382,26156,3842,508801,24,49,26,3997696,63,6,PASS,5,FAIL,1020,1983,9015,PASS,PASS
1,128,detour,7142cd74,58,37854,437578,784,5:31,1101,768,3295,814000,222644081,26865,4003,118052,5,68,26,4063232,63,6,PASS,5,FAIL,1020,1983,9015,PASS,PASS
1,256,straight,c7c2b336,58,895218,229295,25980,31:31,3594,256,2864,668246,398797472,203805,3072,894107,24,46,29,327680,25,6,PASS,6,FAIL,909,2416,8992,PASS,PASS
1,256,distributed,1b050f37,58,617852,987938,1480,5:31,1050,512,2859,1319384,201129408,21575,4005,963263,26,52,21,1933312,8,6,PASS,6,FAIL,909,2416,8992,PASS,PASS
1,256,detour,985ebc49,58,73268,820925,1561,5:31,2440,512,2867,1328917,202401137,24306,4021,215130,5,73,20,4063232,63,6,PASS,6,FAIL,909,2416,8992,PASS,PASS
1,512,straight,b6f7afda,58,1787850,226549,27432,31:31,3588,0,0,0,113447548,47179,3568,1752506,47,34,18,196608,25,6,PASS,8,FAIL,815,3048,9197,PASS,FAIL
1,512,distributed,2301e864,58,755703,1237614,1944,5:31,68,0,0,0,781376,3594,3938,1196701,32,53,14,2162688,63,6,PASS,8,FAIL,815,3048,9197,PASS,FAIL
1,512,detour,0afb352f,58,82837,954571,2057,5:31,2794,0,0,0,418805,3592,4023,251870,6,78,14,3866624,63,6,PASS,8,FAIL,815,3048,9197,PASS,FAIL
1,768,straight,9ee85ed8,58,2677290,142392,16317,31:32,3328,0,0,0,17332990,10348,3899,2593734,70,17,11,196608,21,6,PASS,6,FAIL,876,3414,9537,PASS,FAIL
1,768,distributed,6e03aff9,58,822076,1248971,1912,5:31,40,0,0,0,0,0,3893,1256995,34,51,14,2162688,63,6,PASS,6,FAIL,876,3414,9537,PASS,FAIL
1,768,detour,ae3a98ad,58,80678,946168,2038,5:31,1136,0,0,0,0,0,4023,248973,6,79,14,3997696,63,6,PASS,6,FAIL,876,3414,9537,PASS,FAIL
1,65536,straight,e3ddaebc,58,3264346,58610,4032,31:31,3118,0,0,0,0,0,3719,3135317,85,6,8,196608,14,6,PASS,6,FAIL,876,3414,9537,PASS,FAIL
1,65536,distributed,6e03aff9,58,822076,1248971,1912,5:31,40,0,0,0,0,0,3893,1256995,34,51,14,2162688,63,6,PASS,6,FAIL,876,3414,9537,PASS,FAIL
1,65536,detour,ae3a98ad,58,80678,946168,2038,5:31,1136,0,0,0,0,0,4023,248973,6,79,14,3997696,63,6,PASS,6,FAIL,876,3414,9537,PASS,FAIL
3,128,straight,38a6379e,56,1325896,26454,11708,31:31,3508,640,3296,408942,288442201,173393,3873,1233620,60,12,27,327680,25,6,PASS,6,FAIL,596,4489,10741,PASS,FAIL
3,128,distributed,fa7313d7,56,603652,425694,744,5:31,458,768,3295,808030,221115868,25876,3048,631684,30,44,24,2162688,63,6,PASS,6,FAIL,596,4489,10741,PASS,FAIL
3,128,detour,97a74ef3,56,71997,431129,784,5:31,1163,768,3295,814064,222632900,26869,4004,119553,5,68,26,4063232,63,6,PASS,6,FAIL,596,4489,10741,PASS,FAIL
3,256,straight,b2fa1e03,56,2639031,44080,16232,31:31,3592,256,2864,668226,282248571,167750,3976,2375280,64,14,20,327680,26,6,PASS,9,PASS,529,4760,11005,PASS,FAIL
3,256,distributed,1d19f85b,56,1150854,814291,1480,5:31,1052,512,2859,1314806,200992947,21471,3084,1197388,32,48,19,2228224,63,6,PASS,9,PASS,529,4760,11005,PASS,FAIL
3,256,detour,3e13ab17,56,139287,809991,1561,5:31,3080,512,2867,1328564,202362208,24297,4025,218540,5,73,20,4063232,63,6,PASS,9,PASS,529,4760,11005,PASS,FAIL
3,512,straight,acbd08b1,56,3552689,5563,2072,27:32,253,0,0,0,12386763,3598,2613,3219574,87,4,8,196608,33,13,PASS,10,PASS,557,4034,9992,PASS,FAIL
3,512,distributed,6b937d07,56,1063924,1025747,1944,5:31,68,0,0,0,781376,3594,3067,1308213,35,51,13,2162688,63,6,PASS,10,PASS,557,4034,9992,PASS,FAIL
3,512,detour,cc27892f,56,155949,942295,2056,5:31,684,0,0,0,418654,3592,4025,255868,6,78,14,3866624,63,6,PASS,10,PASS,557,4034,9992,PASS,FAIL
3,768,straight,36d2403f,56,3560213,5695,3024,6:32,52,0,0,0,7325257,3595,2542,3255903,88,3,7,196608,33,13,PASS,9,PASS,534,4418,10394,PASS,FAIL
3,768,distributed,a0de4c54,56,1164189,1008602,1912,5:31,40,0,0,0,0,0,3067,1381751,37,49,13,2162688,63,6,PASS,9,PASS,534,4418,10394,PASS,FAIL
3,768,detour,2b2b7b0e,56,153225,932456,2038,5:31,1332,0,0,0,0,0,4025,252978,6,79,14,3932160,63,6,PASS,9,PASS,534,4418,10394,PASS,FAIL
3,65536,straight,07a4d652,56,3569737,5586,3868,6:32,42,0,0,0,0,0,2528,3278985,88,3,7,196608,36,14,PASS,9,PASS,534,4418,10394,PASS,FAIL
3,65536,distributed,a0de4c54,56,1164189,1008602,1912,5:31,40,0,0,0,0,0,3067,1381751,37,49,13,2162688,63,6,PASS,9,PASS,534,4418,10394,PASS,FAIL
3,65536,detour,2b2b7b0e,56,153225,932456,2038,5:31,1332,0,0,0,0,0,4025,252978,6,79,14,3932160,63,6,PASS,9,PASS,534,4418,10394,PASS,FAIL
5,128,straight,d54f5f2f,54,1559638,4425,4668,27:32,2601,640,3296,408942,263806068,173306,2838,1313762,64,11,23,327680,39,6,PASS,10,PASS,437,2731,10736,PASS,FAIL
5,128,distributed,d4f3aad9,54,638056,412141,744,5:31,458,768,3295,807619,221117857,25794,3230,635389,30,44,24,2228224,63,6,PASS,10,PASS,437,2731,10736,PASS,FAIL
5,128,detour,67575519,54,101872,427309,784,5:31,1284,768,3295,814052,222609545,26868,4004,120218,5,68,26,4128768,63,6,PASS,10,PASS,437,2731,10736,PASS,FAIL
5,256,straight,d46be721,54,3040075,5650,6245,27:32,3594,256,2864,668226,251536019,165909,3278,2507748,68,14,17,327680,33,6,PASS,10,PASS,421,3026,11000,PASS,FAIL
5,256,distributed,e3982193,54,1217752,785450,1480,5:31,1051,512,2859,1315327,200993676,21486,3510,1203722,32,47,19,2228224,63,6,PASS,10,PASS,421,3026,11000,PASS,FAIL
5,256,detour,f42eb71b,54,195588,803230,1561,5:31,3224,512,2867,1328276,202330946,24289,4027,220589,5,73,20,3997696,63,6,PASS,10,PASS,421,3026,11000,PASS,FAIL
5,512,straight,1ffe7aea,54,3552788,5939,2072,27:32,253,0,0,0,12386763,3598,2706,3181722,86,5,8,196608,33,11,PASS,9,PASS,641,2492,10012,PASS,FAIL
5,512,distributed,1e137f82,54,1147247,989985,1944,5:31,68,0,0,0,781376,3594,3236,1314656,35,51,13,2097152,63,6,PASS,9,PASS,641,2492,10012,PASS,FAIL
5,512,detour,866f7d4b,54,221164,934845,2056,5:31,775,0,0,0,417066,3592,4027,258164,7,78,14,3997696,63,6,PASS,9,PASS,641,2492,10012,PASS,FAIL
5,768,straight,b4743c92,54,3560245,5771,3024,6:32,52,0,0,0,7325257,3595,2576,3241928,87,4,7,196608,33,13,PASS,10,PASS,422,2658,10429,PASS,FAIL
5,768,distributed,5512b3b6,54,1246833,971857,1912,5:31,40,0,0,0,0,0,3197,1390181,37,49,13,2162688,63,6,PASS,10,PASS,422,2658,10429,PASS,FAIL
5,768,detour,8d3e44ae,54,215792,925798,2038,5:31,1368,0,0,0,0,0,4027,255125,6,79,14,3866624,63,6,PASS,10,PASS,422,2658,10429,PASS,FAIL
5,65536,straight,8b0f5aca,54,3569748,5625,3868,6:32,42,0,0,0,0,0,2535,3271259,88,3,7,196608,39,14,PASS,10,PASS,422,2658,10429,PASS,FAIL
5,65536,distributed,5512b3b6,54,1246833,971857,1912,5:31,40,0,0,0,0,0,3197,1390181,37,49,13,2162688,63,6,PASS,10,PASS,422,2658,10429,PASS,FAIL
5,65536,detour,8d3e44ae,54,215792,925798,2038,5:31,1368,0,0,0,0,0,4027,255125,6,79,14,3866624,63,6,PASS,10,PASS,422,2658,10429,PASS,FAIL
9,128,straight,a0eba9be,50,1565611,5544,4668,27:32,2599,640,3296,408942,263807050,173303,3778,1313132,64,11,24,327680,63,6,PASS,10,PASS,413,1985,8985,PASS,FAIL
9,128,distributed,407ca115,50,682245,405029,744,5:31,458,768,3295,808347,221125670,25917,3355,637153,31,44,24,2228224,63,6,PASS,10,PASS,413,1985,8985,PASS,FAIL
