pointIndex,mode,runKind,inputName,perturbationPercent,perturbationIndex,engineVersion,stateHash,param.edgeFluxMax,param.gapWidth,param.restoreWeight,measurement.advectionShare,measurement.backflowEvents,measurement.bandCells,measurement.bandThreshold,measurement.blockedCellCount,measurement.capacityLimitedAmount,measurement.coherenceLength,measurement.coherenceLengthSigma,measurement.completionRatio,measurement.completionStep,measurement.densityMax,measurement.densityMaxCell,measurement.densityMaxExSource,measurement.densityMaxExSourceCell,measurement.densityMaxExSourceStep,measurement.densityMaxRatio,measurement.densityMaxStep,measurement.diffusionShare,measurement.fluxLimitedAmount,measurement.fluxLimitedEvents,measurement.gapThroughput,measurement.guideMagnitudeMax,measurement.injectionBase,measurement.injectionRemainder,measurement.maxStagnation,measurement.meanResidency,measurement.meanSegmentWidth,measurement.occupiedCellsPeak,measurement.outOfField,measurement.outOfFieldRatio,measurement.remainingRatio,measurement.segmentCount,measurement.sigmaProfile,measurement.sinkCellCount,measurement.sourceCellCount,measurement.sourceDensityFinal,measurement.sourceDistance,measurement.sourceExclusionCellCount,measurement.sourceOutflowAverage,measurement.sourcePositiveScoreDirections,measurement.sourcePositiveScoreDirectionsStep,measurement.totalCompleted,measurement.totalInjected,measurement.w0,sensitivityBasisPoints,criterion4Dominated,criterion2MedianTwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints
0,B,basic,straight,,,0.8.0,e3ddaebc,65536,1,0,83,0,"0,0,0,1,3,3,3,3,4,3,8,9,12,19,21,21,22,21,23,24,23,24,25,25,23,26,25,26,25,26,27,28,3,5,4,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0",40,58,0,14,6,85,2491,4164,"4,32",4032,"31,31",3118,1,29,17,0,0,[object Object],65536,1024,0,0,338,",,,65536,196608,196608,196608,196608,131072,196608,87381,117964,262144,311296,1376256,458752,720896,688128,502442,524288,1507328,786432,1638400,819200,1507328,851968,819200,1703936,819200,567978,442368,611669,98304,109226,131072,196608,196608,196608,196608,196608,262144,262144,262144,262144,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,,,,,",3719,227317,6,8,"0,0,0,1,1,1,1,1,2,1,6,5,3,4,1,3,2,2,3,3,1,2,1,2,1,2,2,1,2,3,4,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0","467951,499189,528202,654344,416162,377223,407834,424235,444841,462141,484159,497572,507306,529967,544324,554209,568275,570990,576056,587868,580246,589872,587428,588391,584730,581426,576308,579264,569028,562688,488925,406528,284881,579256,572167,571052,566871,556327,551232,543790,543550,537555,534402,532717,530282,529925,532077,536726,524426,528911,531703,533017,530151,524012,516362,509900,486740,464052,433041,1053813,997405,958530,934539,938420",5,1,3140,[object Object],5,1038.0897222222222,4,3600,3135317,3686400,196608,,false,876,,
0,B,basic,distributed,,,0.8.0,6e03aff9,65536,1,0,52,0,"23,26,29,31,32,33,33,34,34,36,38,39,43,42,45,46,49,48,48,49,50,49,52,50,50,51,52,53,53,54,51,50,6,40,39,41,40,41,43,49,50,49,49,52,52,52,52,52,51,52,53,52,52,53,51,52,49,49,47,38,43,38,29,21",19,58,0,63,6,34,-1,4152,"4,32",1912,"5,31",40,1,3581,48,0,0,[object Object],65536,1024,0,0,1333,"1507328,1703936,1900544,2031616,2097152,2162688,2162688,2228224,2228224,1179648,498073,638976,469674,688128,421302,502442,535210,1048576,629145,535210,819200,642252,851968,655360,819200,668467,851968,868352,1157802,1769472,835584,819200,196608,374491,425984,671744,327680,537395,563609,1070421,1638400,642252,802816,3407872,1135957,1135957,1703936,851968,1114112,1135957,1157802,3407872,1135957,3473408,3342336,3407872,3211264,1070421,1026730,830122,2818048,2490368,633514,688128",3893,1893613,51,14,"1,1,1,1,1,1,1,1,1,2,5,4,6,4,7,6,6,3,5,6,4,5,4,5,4,5,4,4,3,2,4,4,2,7,6,4,8,5,5,3,2,5,4,1,3,3,2,4,3,3,3,1,3,1,1,1,1,3,3,3,1,1,3,2","553104,604415,613865,638011,478124,475322,488302,509872,529409,549204,555038,572912,572263,581023,589480,583250,585703,596739,587972,590499,582736,588928,574274,573362,562480,563445,545528,552531,553415,538155,544295,538671,614361,716711,711652,709682,717001,705847,700715,709461,714214,708272,702028,702370,686790,680691,678372,678676,677867,680406,674345,685106,687549,696734,694277,682002,653693,639771,626147,904531,881057,885796,855092,842527",5,1,3126,[object Object],5,1034.1041666666667,4,3600,1256995,3686400,2162688,,true,876,,
0,B,basic,detour,,,0.8.0,ae3a98ad,65536,1,0,38,0,"39,48,54,57,58,59,61,60,61,61,62,62,62,61,63,63,63,63,62,64,64,64,64,63,63,63,64,63,63,63,61,63,6,51,51,51,52,51,55,54,54,55,56,57,57,57,57,56,57,56,56,56,55,55,55,54,52,50,48,42,39,36,25,5",20,58,0,63,6,6,-1,4169,"4,32",2038,"5,31",1136,1,615,62,0,0,[object Object],65536,1024,0,0,6525,"851968,1048576,1769472,3735552,3801088,1933312,3997696,1966080,3997696,3997696,2031616,4063232,4063232,3997696,4128768,4128768,4128768,4128768,4063232,4194304,4194304,4194304,4194304,4128768,4128768,4128768,4194304,4128768,4128768,4128768,3997696,4128768,196608,3342336,3342336,3342336,3407872,3342336,1802240,1769472,1769472,1802240,3670016,3735552,1867776,3735552,3735552,3670016,3735552,3670016,1223338,1835008,3604480,1802240,3604480,3538944,3407872,1638400,1572864,688128,851968,786432,327680,109226",4023,2915966,79,14,"3,3,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,3,2,1,2,1,1,1,2,2,4,3,3,5,3","869773,910141,904820,904606,584437,591266,622461,641364,674074,706724,727390,746716,773107,781537,818471,819763,843050,850150,866627,869577,884989,884656,878305,890652,880263,884609,888985,884026,888218,885367,872294,889467,466160,887388,876737,873575,886578,890463,876768,889983,881893,882262,885327,878223,872036,859449,864120,849811,847267,847857,838845,844949,838319,836141,838462,836618,840082,845763,848213,981480,970079,970032,947152,921285",5,1,3145,[object Object],5,1039.5333333333333,4,3600,248973,3686400,3997696,,true,876,,
0,B,perturbation,distributed,1,1,0.8.0,ef76c026,65536,1,0,51,0,"22,25,28,30,32,32,33,35,33,35,36,44,42,42,46,47,49,50,48,49,48,50,50,52,51,51,50,52,50,52,51,49,6,42,45,45,45,48,46,50,51,52,50,50,52,54,54,54,53,54,51,53,52,53,49,51,48,49,46,39,40,36,30,20",19,58,0,63,6,35,-1,4148,"4,32",1917,"5,31",2639,1,29,49,0,0,[object Object],65536,1024,0,0,1328,"1441792,1638400,1835008,983040,2097152,2097152,2162688,1146880,2162688,1146880,786432,360448,688128,393216,502442,440027,535210,655360,629145,458752,1048576,1092266,655360,681574,835584,1671168,1092266,1135957,1092266,1135957,1671168,802816,196608,550502,491520,983040,737280,786432,753664,1092266,1114112,1135957,1638400,1638400,1703936,3538944,1769472,1769472,1157802,1179648,835584,1736704,1135957,1157802,1605632,1114112,1572864,1605632,1507328,851968,1310720,786432,983040,436906",3901,1825810,49,15,"1,1,1,2,1,1,1,2,1,2,3,8,4,7,6,7,6,5,5,7,3,3,5,5,4,2,3,3,3,3,2,4,2,5,6,3,4,4,4,3,3,3,2,2,2,1,2,2,3,3,4,2,3,3,2,3,2,2,2,3,2,3,2,3","532611,600691,613820,643063,482221,473432,494895,514272,535035,545911,564411,560231,577855,583869,580816,589412,575652,585746,586495,579396,576294,566987,555378,555219,552928,546533,546079,537701,527565,540040,525686,529544,612931,684039,691853,685293,683248,680531,685178,679623,681176,678769,677599,673514,667499,664314,666752,658238,664657,668753,669503,677883,674474,685272,684493,668993,645574,626782,613724,913836,898140,897635,871694,818827",5,1,3123,[object Object],5,1034.1030555555556,4,3600,1302404,3686400,2162688,361,,876,,
0,B,perturbation,distributed,1,2,0.8.0,9cef323c,65536,1,0,51,0,"23,26,29,30,32,33,33,33,34,39,39,37,40,44,44,50,45,48,48,49,53,52,48,49,53,52,52,52,52,54,52,50,6,43,43,45,46,46,49,49,50,50,51,49,54,56,54,54,54,53,52,51,52,55,53,53,48,48,47,41,40,36,33,17",19,58,0,63,6,35,-1,4148,"4,32",1916,"5,31",199,1,31,49,0,0,[object Object],65536,1024,0,0,1332,"1507328,1703936,1900544,983040,2097152,2162688,2162688,2162688,1114112,511180,511180,606208,436906,480597,720896,1638400,491520,524288,629145,642252,868352,1135957,786432,535210,1157802,1703936,851968,1135957,1703936,707788,1703936,819200,196608,563609,939349,983040,1004885,753664,802816,642252,819200,819200,3342336,1070421,1769472,1835008,3538944,1179648,1769472,1157802,1703936,1671168,1703936,1802240,3473408,1736704,1048576,3145728,3080192,671744,2621440,2359296,720896,185685",3927,1819742,49,15,"1,1,1,2,1,1,1,1,2,5,5,4,6,6,4,2,6,6,5,5,4,3,4,6,3,2,4,3,2,5,2,4,2,5,3,3,3,4,4,5,4,4,1,3,2,2,1,3,2,3,2,2,2,2,1,2,3,1,1,4,1,1,3,6","558825,611194,631200,641376,486354,475552,498101,516761,541416,551948,561861,570253,576529,579572,571802,577766,583584,580365,567636,574974,572445,572479,550308,551964,547259,552445,539043,537967,540424,528900,531951,525835,613335,687119,688751,694855,685125,684757,690718,686011,690562,679981,679147,683862,669995,684727,672158,683171,676971,675041,675993,677102,681705,694072,684204,681774,657453,643029,611508,909981,894356,886113,885425,834339",5,1,3123,[object Object],5,1034.1036111111111,4,3600,1306682,3686400,2162688,395,,876,,
0,B,perturbation,distributed,1,3,0.8.0,c8d8a660,65536,1,0,50,0,"16,20,24,27,31,31,32,31,31,32,32,32,33,33,33,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,32,6,41,42,39,39,42,42,43,44,42,43,42,43,45,48,48,46,47,48,48,47,47,46,45,42,42,40,31,33,29,16,3",27,58,0,63,6,31,-1,4148,"4,32",2788,"31,30",2688,1,32,50,0,0,[object Object],65536,1024,0,0,1580,"524288,655360,1572864,884736,2031616,2031616,2097152,2031616,2031616,2097152,2097152,2097152,2162688,2162688,2162688,2162688,2162688,2097152,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2097152,196608,671744,688128,851968,638976,917504,1376256,1409024,1441792,2752512,939349,2752512,939349,983040,1572864,3145728,3014656,770048,1048576,1572864,1026730,1026730,1004885,983040,1376256,917504,1310720,677205,540672,633514,209715,98304",3028,1910586,51,16,"2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,3,4,3,2,2,2,1,3,1,3,3,2,1,1,4,3,2,3,3,3,3,2,3,2,3,4,3,5,2","477372,497675,492473,497964,459726,447107,447097,459263,465070,476111,478137,483067,483067,487119,482341,472210,473846,475094,478974,479069,476635,459356,441201,453053,434623,436252,435331,423841,424094,422950,433100,432752,545983,672792,662244,672230,660286,660709,666163,672476,660586,662770,662357,655875,657723,669010,665078,664354,660464,667180,681819,676720,688912,689063,672496,659838,638353,626850,621732,903807,898260,893026,884197,826211",5,1,3123,[object Object],5,1034.1030555555556,4,3600,1175842,3686400,2097152,645,,876,,
0,B,perturbation,distributed,1,4,0.8.0,15bc1e43,65536,1,0,52,0,"20,24,29,34,47,50,52,56,57,58,58,57,59,59,62,61,61,61,62,62,61,61,60,60,61,60,61,60,60,59,60,59,6,35,37,32,42,39,43,44,48,50,48,50,50,51,52,51,53,52,54,55,52,52,52,49,50,47,46,36,41,37,30,16",19,58,0,10,6,33,-1,4148,"4,32",1909,"5,31",43,1,31,48,0,0,[object Object],65536,1024,0,0,1370,"1310720,1572864,633514,371370,616038,1092266,1135957,1835008,1867776,1267029,3801088,3735552,3866624,1933312,4063232,3997696,3997696,3997696,4063232,4063232,3997696,3997696,3932160,3932160,3997696,3932160,3997696,3932160,3932160,3866624,3932160,3866624,196608,458752,269425,299593,305834,365129,402578,360448,786432,655360,629145,1092266,1092266,1671168,1135957,1114112,1736704,1703936,1769472,3604480,1135957,1703936,1135957,1605632,1638400,1026730,1004885,589824,2686976,1212416,655360,262144",4011,1919821,52,14,"1,1,3,6,5,3,3,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,9,7,9,7,7,8,4,5,5,3,3,2,3,3,2,2,2,1,3,2,3,2,2,3,3,4,1,2,3,4","803627,866519,900843,872642,544729,534468,558431,582383,613311,647569,655234,673358,684927,697889,704718,714195,707880,741812,725821,746107,763616,743636,760782,745851,751748,758298,753694,755674,773819,745065,757282,726783,635954,695706,698177,697764,693300,693733,686925,686191,697741,675455,682813,689179,663537,672855,675870,675004,674405,677428,674785,692990,687372,698465,701234,695019,673651,649685,631068,913145,901151,890346,864590,829756",5,1,3124,[object Object],5,1034.1025,4,3600,1230739,3686400,1135957,208,,876,,
0,B,perturbation,distributed,1,5,0.8.0,75d292b8,65536,1,0,50,0,"16,22,23,26,30,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,31,32,32,32,6,40,41,40,41,41,41,41,42,43,42,43,45,47,51,48,48,48,49,49,47,47,45,43,46,40,41,32,32,31,17,2",28,58,0,63,6,31,-1,4144,"4,32",2869,"31,30",3313,1,28,50,0,0,[object Object],65536,1024,0,0,1617,"1048576,720896,753664,851968,1966080,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2162688,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2031616,2097152,2097152,2097152,196608,655360,895658,655360,671744,895658,1343488,1343488,2752512,2818048,1376256,1409024,983040,1540096,3342336,1048576,3145728,1048576,1605632,1070421,3080192,1540096,983040,1409024,3014656,2621440,1343488,524288,1048576,677205,278528,65536",3057,1920326,52,16,"1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,4,4,3,2,2,1,1,2,2,3,2,1,3,1,3,2,3,1,2,3,2,1,1,2,4,2,3,4,2","470126,486794,486550,503451,458292,449370,449290,461243,468775,478012,475219,483536,483104,479823,472558,474013,464200,471567,458777,475000,453493,438518,436942,435524,417865,422498,418651,417240,417622,413488,425553,422287,544709,704459,676785,689772,688929,685811,688473,684242,686021,683070,685791,671797,688169,664033,681963,667730,682764,684823,678292,696918,698111,697288,684600,670155,658510,639026,640327,911784,884047,886274,880768,814786",5,1,3120,[object Object],5,1034.1036111111111,4,3600,1159238,3686400,2097152,777,,876,,
0,B,perturbation,distributed,1,6,0.8.0,bd8964d9,65536,1,0,52,0,"20,25,29,39,41,51,52,56,58,58,58,59,61,61,60,61,61,60,61,62,62,62,61,62,61,61,60,61,61,61,60,62,6,36,33,38,39,41,41,41,45,45,45,47,49,50,51,50,51,50,52,51,50,50,50,49,46,45,45,36,41,35,28,11",19,58,0,9,6,33,-1,4148,"4,32",1913,"5,31",850,1,30,48,0,0,[object Object],65536,1024,0,0,1367,"655360,1638400,475136,638976,447829,1671168,1135957,1223338,1900544,3801088,1900544,1933312,3997696,3997696,3932160,3997696,3997696,3932160,3997696,4063232,4063232,4063232,3997696,4063232,3997696,3997696,3932160,3997696,3997696,3997696,3932160,4063232,196608,294912,308955,415061,365129,447829,383853,383853,737280,983040,983040,770048,1070421,655360,3342336,1638400,1671168,1092266,851968,1671168,1092266,1092266,1092266,1605632,1507328,2949120,737280,471859,1343488,1146880,1835008,144179",4003,1914359,51,14,"2,1,4,4,6,2,3,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,7,6,7,6,7,7,4,3,3,4,3,5,1,2,2,3,4,2,3,3,3,2,2,1,4,5,2,2,1,5","805783,859804,878008,891328,548017,537135,556172,584633,615991,647447,658286,679919,680657,702057,704503,717507,722321,718896,725114,738375,747695,746859,746346,742244,747150,745441,750439,745939,736449,751933,737968,715471,626763,704574,705193,698502,689887,689212,694254,676907,679306,694911,677140,674711,679543,658443,671164,656062,657448,656937,667192,659248,678113,690319,686683,678092,659887,631042,627168,909465,886456,885704,857589,824985",5,1,3123,[object Object],5,1034.1033333333332,4,3600,1235609,3686400,1135957,170,,876,,
0,B,perturbation,distributed,1,7,0.8.0,effc721e,65536,1,0,52,0,"20,25,31,40,49,53,54,57,58,60,59,59,60,61,61,61,62,61,62,62,61,62,62,62,63,62,62,62,62,61,61,61,6,36,36,37,42,38,44,43,46,45,48,49,49,52,52,51,52,54,53,51,52,48,52,50,48,46,46,38,38,38,28,14",19,58,0,7,6,32,-1,4152,"4,32",1909,"5,31",753,1,699,48,0,0,[object Object],65536,1024,0,0,1390,"1310720,1638400,677205,436906,1605632,1157802,1179648,3735552,3801088,3932160,3866624,1933312,3932160,3997696,1998848,3997696,2031616,3997696,4063232,4063232,3997696,4063232,4063232,4063232,4128768,4063232,4063232,4063232,4063232,3997696,3997696,3997696,196608,235929,337042,404138,393216,415061,360448,469674,376832,491520,786432,642252,1070421,1135957,851968,1114112,1135957,1769472,3473408,668467,1703936,1048576,3407872,1092266,1572864,3014656,602931,830122,1245184,1245184,611669,305834",4011,1968614,53,14,"1,1,3,6,2,3,3,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,10,7,6,7,6,8,6,8,6,4,5,3,3,4,3,3,2,1,5,2,3,1,3,2,1,5,3,2,2,3,3","815434,868052,884735,901496,547244,544881,558270,601889,621397,656021,666920,685851,692537,705785,707341,736787,728072,742548,760321,757532,754688,738413,764420,754304,757280,752490,759839,759843,759559,757743,746945,724949,627833,716974,719799,710467,719599,709927,718404,721801,702113,714841,719172,693467,686392,696957,683159,682577,695337,691192,696198,709618,712021,708573,705970,696439,667590,654714,637654,926875,902039,913992,876001,830683",5,1,3128,[object Object],5,1034.8575,4,3600,1192603,3686400,1179648,512,,876,,
