pointIndex,mode,runKind,inputName,perturbationPercent,perturbationIndex,engineVersion,stateHash,param.restoreWeight,measurement.advectionShare,measurement.backflowEvents,measurement.bandCells,measurement.bandThreshold,measurement.blockedCellCount,measurement.capacityLimitedAmount,measurement.coherenceLength,measurement.coherenceLengthSigma,measurement.completionRatio,measurement.completionStep,measurement.densityMax,measurement.densityMaxCell,measurement.densityMaxExSource,measurement.densityMaxExSourceCell,measurement.densityMaxExSourceStep,measurement.densityMaxRatio,measurement.densityMaxStep,measurement.diffusionShare,measurement.fluxLimitedAmount,measurement.fluxLimitedEvents,measurement.gapThroughput,measurement.guideMagnitudeMax,measurement.injectionBase,measurement.injectionRemainder,measurement.maxStagnation,measurement.meanResidency,measurement.meanSegmentWidth,measurement.occupiedCellsPeak,measurement.outOfField,measurement.outOfFieldRatio,measurement.remainingRatio,measurement.segmentCount,measurement.sigmaProfile,measurement.sinkCellCount,measurement.sourceCellCount,measurement.sourceDensityFinal,measurement.sourceDistance,measurement.sourceExclusionCellCount,measurement.sourceOutflowAverage,measurement.sourcePositiveScoreDirections,measurement.sourcePositiveScoreDirectionsStep,measurement.totalCompleted,measurement.totalInjected,measurement.w0,sensitivityBasisPoints,criterion4Dominated,criterion2MedianTwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints
0,A,basic,straight,,,0.8.0,f7606aa8,0,98,0,"0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,0,0,0,0",38,0,0,63,63,93,2271,4164,"4,32",3868,"6,32",42,1,29,2,0,0,[object Object],65536,1024,0,0,230,",,,65536,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,262144,262144,262144,262144,,,,,",178,0,0,6,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,,0,12967,15628,18728,21201,23235,24958,26562,27930,29237,30356,31436,32356,33251,34109,34844,35565,36256,36839,37397,37964,38505,38952,39375,39794,40228,40639,41045,41367,41788,42118,42174,42230,42189,42323,42456,42638,42768,42839,42972,43225,43433,43673,43912,44382,44752,45154,45546,45887,46249,46643,47075,47512,47891,48330,48662,,,,,",5,1,3140,[object Object],5,1038.0897222222222,4,3600,3458064,3686400,196608,,false,,,
0,A,basic,distributed,,,0.8.0,97a13950,0,73,0,"3,11,12,18,23,26,28,29,31,30,29,31,33,31,33,32,35,30,35,33,35,32,31,31,31,31,30,30,28,27,26,27,26,26,25,21,22,22,21,23,24,21,24,24,25,26,25,25,26,25,25,25,24,23,24,23,22,19,19,12,8,3,0,0",26,0,0,7,6,71,2927,4152,"4,32",2640,"6,32",41,1,29,27,0,0,[object Object],65536,1024,0,0,439,"98304,720896,786432,393216,753664,851968,917504,1900544,1015808,983040,633514,1015808,1081344,1015808,540672,699050,2293760,655360,573440,432537,573440,524288,677205,507904,677205,677205,491520,655360,611669,1769472,1703936,884736,567978,567978,327680,344064,360448,720896,458752,502442,786432,344064,393216,786432,819200,567978,1638400,1638400,851968,819200,546133,819200,524288,753664,786432,1507328,720896,1245184,622592,393216,262144,98304,,",3703,694844,18,9,"2,1,1,3,2,2,2,1,2,2,3,2,2,2,4,3,1,3,4,5,4,4,3,4,3,3,4,3,3,1,1,2,3,3,5,4,4,2,3,3,2,4,4,2,2,3,1,1,2,2,3,2,3,2,2,1,2,1,2,2,2,2,0,0","636477,718968,803886,805918,470062,471117,487455,509983,540122,566703,582069,593815,597051,609158,599651,614758,602807,607031,613284,614570,617772,600237,605726,599706,598279,603126,586669,571091,570098,549843,536818,523067,507565,497845,488413,477269,469540,473836,474392,490032,491303,500146,499115,525950,528976,534974,545714,538622,546571,540644,552420,548016,538963,537469,532023,498520,469998,446924,438152,838366,800973,781110,762582,667864",5,1,3128,[object Object],5,1035.1008333333334,4,3600,2634284,3686400,917504,,true,,,
0,A,basic,detour,,,0.8.0,13073731,0,59,0,"7,13,18,21,25,26,27,29,35,35,44,42,45,47,47,50,48,48,50,49,47,47,47,48,47,50,44,47,47,46,46,43,45,43,44,46,43,44,44,44,41,43,44,44,47,45,43,44,44,43,43,43,44,43,39,40,37,35,33,25,22,18,8,2",25,0,0,7,6,58,3488,4148,"4,32",2549,"6,32",37,1,26,41,0,0,[object Object],65536,1024,0,0,676,"229376,425984,589824,458752,819200,851968,589824,1900544,382293,382293,720896,1376256,983040,1540096,1540096,1092266,1572864,786432,1092266,1605632,1026730,1540096,1026730,786432,770048,1092266,961194,616038,1026730,1507328,502442,563609,589824,563609,720896,1004885,1409024,961194,720896,961194,671744,704512,720896,961194,3080192,983040,1409024,720896,1441792,939349,939349,939349,720896,1409024,2555904,873813,1212416,764586,432537,327680,288358,393216,262144,65536",4044,1067625,28,12,"2,2,2,3,2,2,3,1,6,6,4,2,3,2,2,3,2,4,3,2,3,2,3,4,4,3,3,5,3,2,6,5,5,5,4,3,2,3,4,3,4,4,4,3,1,3,2,4,2,3,3,3,4,2,1,3,2,3,5,5,5,3,2,2","795253,861484,892188,890461,509840,501752,508102,521646,535728,550501,561364,566883,583853,585879,599143,596995,588700,596139,594250,594572,587149,574463,583963,572860,570044,574659,576357,572532,568626,561996,574776,560046,569118,567170,558502,565395,555573,570358,573490,575223,578478,575251,569533,577542,588135,570269,581566,580949,576243,571267,586233,578929,591739,578556,582046,572847,567443,566690,562435,931201,910757,880080,868282,819890",5,1,3124,[object Object],5,1034.1044444444444,4,3600,2174038,3686400,589824,,true,,,
1,A,basic,straight,,,0.8.0,f7606aa8,4096,98,0,"0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,0,0,0,0",38,0,0,63,63,93,2271,4164,"4,32",3868,"6,32",42,1,29,2,0,0,[object Object],65536,1024,0,0,230,",,,65536,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,262144,262144,262144,262144,,,,,",178,0,0,6,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,,0,12967,15628,18728,21201,23235,24958,26562,27930,29237,30356,31436,32356,33251,34109,34844,35565,36256,36839,37397,37964,38505,38952,39375,39794,40228,40639,41045,41367,41788,42118,42174,42230,42189,42323,42456,42638,42768,42839,42972,43225,43433,43673,43912,44382,44752,45154,45546,45887,46249,46643,47075,47512,47891,48330,48662,,,,,",5,1,3140,[object Object],5,1038.0897222222222,4,3600,3458064,3686400,196608,,false,,,
1,A,basic,distributed,,,0.8.0,070f1cf5,4096,96,0,"0,0,0,1,6,7,8,10,10,11,12,13,13,13,13,12,12,12,12,11,12,10,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,10,11,12,12,12,12,12,12,12,11,10,9,8,7,2,7,7,7,5",40,0,0,63,7,91,2353,4152,"4,32",4005,"61,31",2876,1,29,4,0,0,[object Object],65536,1024,0,0,311,",,,65536,393216,458752,524288,655360,655360,720896,786432,851968,425984,425984,425984,393216,393216,393216,393216,360448,262144,218453,229376,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,294912,327680,360448,393216,393216,393216,393216,393216,393216,786432,720896,655360,589824,524288,458752,131072,458752,458752,458752,327680",902,0,0,8,"0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1",",,,0,48004,79053,109879,142431,174753,206216,235608,266583,297808,331238,359855,392018,416036,446797,480261,513749,538309,541957,479156,465633,466718,465521,465618,465665,467065,465760,465807,465855,467259,465949,465997,466207,467605,466301,466348,466395,467793,466489,466541,466467,484132,482302,482269,464438,429274,391005,354413,319605,284437,253520,222196,188338,157206,130621,108336,120212,87842,97553,86869,72529",5,1,3128,[object Object],5,1035.1008333333334,4,3600,3373457,3686400,524288,,true,,,
1,A,basic,detour,,,0.8.0,4034e8f9,4096,98,0,"0,0,0,1,6,7,7,9,11,12,13,15,16,17,16,19,19,18,16,13,14,13,12,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,14,14,15,15,16,16,15,15,15,15,13,12,11,10,9,8,3,7,6,4,0",25,0,0,11,8,91,2340,4148,"4,32",2549,"6,32",37,1,26,2,0,0,[object Object],65536,1024,0,0,303,",,,65536,393216,458752,458752,589824,720896,786432,851968,983040,524288,557056,524288,622592,622592,589824,524288,283989,458752,425984,393216,360448,360448,393216,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,262144,458752,458752,491520,491520,524288,524288,491520,491520,983040,983040,851968,786432,720896,655360,589824,524288,98304,458752,393216,262144,",767,0,0,8,"0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,0",",,,22358,51925,75788,96805,114602,136630,157444,180020,201440,221880,253111,268854,289183,296993,300353,300106,292422,279088,257433,264758,265714,265676,274069,277389,277851,278165,278412,278627,278938,279044,279239,279321,279424,279476,279661,279796,279895,279860,280039,290887,284410,281456,270269,256063,249304,217592,208419,187622,179149,171583,150250,147859,127706,124773,107424,104640,109795,83172,82358,67189,0",5,1,3124,[object Object],5,1034.1044444444444,4,3600,3387561,3686400,458752,,true,,,
2,A,basic,straight,,,0.8.0,f7606aa8,8192,98,0,"0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,0,0,0,0",38,0,0,63,63,93,2271,4164,"4,32",3868,"6,32",42,1,29,2,0,0,[object Object],65536,1024,0,0,230,",,,65536,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,262144,262144,262144,262144,,,,,",178,0,0,6,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,,0,12967,15628,18728,21201,23235,24958,26562,27930,29237,30356,31436,32356,33251,34109,34844,35565,36256,36839,37397,37964,38505,38952,39375,39794,40228,40639,41045,41367,41788,42118,42174,42230,42189,42323,42456,42638,42768,42839,42972,43225,43433,43673,43912,44382,44752,45154,45546,45887,46249,46643,47075,47512,47891,48330,48662,,,,,",5,1,3140,[object Object],5,1038.0897222222222,4,3600,3458064,3686400,196608,,false,,,
2,A,basic,distributed,,,0.8.0,c3e0a4b5,8192,97,0,"0,0,0,1,6,7,8,10,10,11,12,13,13,13,13,12,12,12,12,11,11,10,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,10,11,12,12,12,12,12,12,12,11,10,9,8,7,2,7,7,5,3",39,0,0,63,7,91,2348,4152,"4,32",3981,"61,31",3236,1,29,3,0,0,[object Object],65536,1024,0,0,306,",,,65536,393216,458752,524288,655360,655360,720896,786432,851968,425984,425984,425984,393216,393216,393216,393216,360448,240298,218453,229376,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,294912,327680,360448,393216,393216,393216,393216,393216,393216,786432,720896,655360,589824,524288,458752,131072,458752,458752,327680,196608",868,0,0,8,"0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1",",,,0,48004,76576,107638,140924,173367,204863,234284,265230,296469,330646,359368,390717,415428,445707,478885,512602,537961,542400,477455,465545,466914,465719,465816,465863,467262,465958,466006,466053,467451,466147,466195,466401,467803,466500,466547,466594,467991,466688,466734,466665,484276,482528,483268,464874,429005,390579,354069,318612,282719,252200,221127,186847,155677,129154,106701,120027,83949,85645,72414,58139",5,1,3128,[object Object],5,1035.1008333333334,4,3600,3379221,3686400,524288,,true,,,
2,A,basic,detour,,,0.8.0,22bba68d,8192,98,0,"0,0,0,1,6,7,7,9,11,12,13,15,16,16,17,18,19,16,15,13,14,13,12,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,14,14,15,15,15,15,15,15,15,14,12,12,10,10,9,8,3,5,6,2,0",25,0,0,11,8,92,2336,4148,"4,32",2549,"6,32",37,1,26,2,0,0,[object Object],65536,1024,0,0,298,",,,65536,393216,458752,458752,589824,720896,786432,851968,983040,524288,524288,557056,589824,622592,524288,491520,283989,458752,425984,393216,360448,360448,393216,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,240298,262144,458752,458752,491520,491520,491520,491520,491520,491520,983040,917504,786432,786432,655360,655360,589824,524288,98304,327680,393216,131072,",755,0,0,7,"0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,0",",,,22358,51925,74721,95215,113001,134992,155816,178773,197804,218355,245988,263480,283011,289876,292835,289839,283248,271165,250235,256757,257132,256920,265115,268453,268783,269170,269245,269569,269644,269938,270259,270471,270604,270715,270819,271062,271025,271130,271285,282378,275657,271525,263406,247700,242873,210101,202558,182403,174771,166364,146046,144525,125335,122317,105789,103025,108347,71229,65577,49097,",5,1,3124,[object Object],5,1034.1044444444444,4,3600,3392125,3686400,458752,,true,,,
3,A,basic,straight,,,0.8.0,f7606aa8,16384,98,0,"0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,0,0,0,0",38,0,0,63,63,93,2271,4164,"4,32",3868,"6,32",42,1,29,2,0,0,[object Object],65536,1024,0,0,230,",,,65536,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,262144,262144,262144,262144,,,,,",178,0,0,6,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,,0,12967,15628,18728,21201,23235,24958,26562,27930,29237,30356,31436,32356,33251,34109,34844,35565,36256,36839,37397,37964,38505,38952,39375,39794,40228,40639,41045,41367,41788,42118,42174,42230,42189,42323,42456,42638,42768,42839,42972,43225,43433,43673,43912,44382,44752,45154,45546,45887,46249,46643,47075,47512,47891,48330,48662,,,,,",5,1,3140,[object Object],5,1038.0897222222222,4,3600,3458064,3686400,196608,,false,,,
