pointIndex,mode,runKind,inputName,perturbationPercent,perturbationIndex,engineVersion,stateHash,param.congestionReference,param.congestionWeight,param.edgeFluxMax,param.gapWidth,param.restoreWeight,measurement.advectionShare,measurement.backflowEvents,measurement.bandCells,measurement.bandThreshold,measurement.blockedCellCount,measurement.capacityLimitedAmount,measurement.coherenceLength,measurement.coherenceLengthSigma,measurement.completionRatio,measurement.completionStep,measurement.conductanceMin,measurement.conductanceMinCell,measurement.corridorEdgeDensityMax,measurement.corridorEdgeDensityMaxCell,measurement.corridorEdgeDensityMean,measurement.corridorEdgeDensityPeak,measurement.corridorEdgeDensityPeakCell,measurement.densityMax,measurement.densityMaxCell,measurement.densityMaxExSource,measurement.densityMaxExSourceCell,measurement.densityMaxExSourceStep,measurement.densityMaxRatio,measurement.densityMaxStep,measurement.diffusionShare,measurement.fluxLimitedAmount,measurement.fluxLimitedEvents,measurement.gapThroughput.central,measurement.gapThroughput.detour,measurement.guideMagnitudeMax,measurement.injectionBase,measurement.injectionRemainder,measurement.maxStagnation,measurement.meanResidency,measurement.meanSegmentWidth,measurement.occupiedCellsPeak,measurement.outOfField,measurement.outOfFieldByEdge.bottom,measurement.outOfFieldByEdge.left,measurement.outOfFieldByEdge.right,measurement.outOfFieldByEdge.top,measurement.outOfFieldRatio,measurement.outsideCorridorCells,measurement.remainingRatio,measurement.segmentCount,measurement.sigmaProfile,measurement.sinkCellCount,measurement.sourceCellCount,measurement.sourceDensityFinal,measurement.sourceDistance.densityMax,measurement.sourceDistance.densityMaxExSource,measurement.sourceExclusionCellCount,measurement.sourceOutflowAverage,measurement.sourcePositiveScoreDirections,measurement.sourcePositiveScoreDirectionsStep,measurement.throttledEdgeCount,measurement.totalCompleted,measurement.totalInjected,measurement.w0,sensitivityBasisPoints,criterion4Dominated,criterion2MedianTwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints
0,A,basic,straight,,,0.10.0,f1ff39b8,2048,0,512,1,4096,74,0,"0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,7,8,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",709,58,0,24,63,46,-1,65536,,0,,,0,,70995,"31,32",70995,"31,32",3600,27,3600,26,630237476,150748,1787850,0,65536,1024,0,0,2142,",,,65536,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,262144,458752,524288,589824,589824,589824,589824,589824,589824,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,,,,,",310,0,0,0,0,0,0,0,53,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,0,8091,21335,47007,47130,47447,47796,47918,48229,48572,48693,48998,49336,49456,49755,50088,50207,50500,50829,50793,47495,65198,89342,95275,93879,94153,94091,93805,93395,93264,0,11385,15272,18138,20575,22600,24168,26658,28271,29670,31018,32633,34060,35428,37982,41401,42874,43091,41661,41859,42056,42252,42447,42641,42834,43033,43225,,,,,",5,1,17964,27,27,5,1271.1730555555555,4,3600,0,1731258,3686400,196608,,true,,,
0,A,basic,distributed,,,0.10.0,e651dc95,2048,0,512,1,4096,94,0,"0,0,0,2,9,10,10,12,13,14,15,16,16,16,15,16,16,17,15,14,13,13,9,7,7,7,7,7,7,7,10,12,6,6,6,6,6,6,6,6,6,6,6,8,10,12,14,16,16,17,17,16,17,17,15,15,16,15,14,8,11,10,8,3",47,58,0,63,6,87,2492,65536,,0,,,0,,5036,"4,32",4784,"60,34",2405,1,60,6,1192451,10245,970344,2500705,65536,1024,0,0,467,",,,65536,589824,655360,655360,786432,851968,917504,983040,524288,524288,524288,491520,524288,524288,557056,491520,458752,425984,425984,294912,229376,229376,229376,229376,229376,229376,229376,327680,393216,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,196608,174762,327680,393216,458752,524288,524288,557056,557056,524288,557056,1114112,983040,983040,1048576,983040,917504,262144,720896,655360,524288,196608",800,2312,0,0,2312,0,0,0,12,"0,0,0,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1",",,,148659,119188,149838,169984,189168,221169,240487,260256,279394,306200,327216,345477,365898,384104,411420,435199,440879,429961,472243,562542,588019,589762,589744,589726,589622,589576,589934,663499,637815,599294,600976,601130,601021,600997,600976,600973,601017,601024,601031,601154,586337,511438,472768,439492,418716,396832,381900,348884,332815,319460,286229,272248,255110,230583,242130,223287,222547,150935,127618,103038,70674",5,1,4012,0,58,5,1038.8227777777777,4,3600,0,3231356,3686400,655360,,false,,,
0,A,basic,detour,,,0.10.0,0fcddfb7,2048,0,512,1,4096,94,0,"0,0,0,0,8,9,10,12,13,14,13,14,14,14,13,14,14,15,13,12,11,11,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,9,11,12,13,15,16,16,15,16,16,16,16,15,15,14,7,11,10,8,1",102,58,0,63,6,85,2565,65536,,0,,,0,,10249,"60,34",10249,"60,34",1151,3,1151,6,4233244,9463,0,3439450,65536,1024,0,0,555,",,,,524288,589824,655360,786432,851968,917504,851968,917504,917504,917504,851968,917504,917504,983040,851968,786432,720896,720896,458752,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,524288,589824,720896,786432,851968,983040,1048576,1048576,983040,1048576,1048576,1048576,1048576,491520,983040,917504,152917,720896,655360,524288,65536",716,2719,0,0,2719,0,0,0,14,"0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1",",,,145957,128373,152064,166047,180385,210972,217402,213866,217520,242136,241538,224957,224939,249800,251103,232851,213063,200533,180557,140654,108480,105912,105701,105564,105439,105341,105254,105162,105078,104122,104896,104804,104724,104604,104544,104436,104350,104256,104167,110457,150353,177738,202553,232489,242362,253312,270066,251057,255780,269191,249986,258360,271285,252432,254902,239435,210662,153406,142098,115990,62328",5,1,3568,58,58,5,1035.9658333333334,4,3600,0,3156699,3686400,655360,,true,,,
1,A,basic,straight,,,0.10.0,a48d404d,2048,0,512,3,4096,98,0,"0,0,0,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,5,5,5,5,5,5,5,5,5,0,0,0,0,0",20,56,0,46,63,93,2290,65536,,0,,,0,,18989,"4,32",2072,"27,32",253,7,164,2,12386763,3598,3552689,0,65536,1024,0,0,249,",,,65536,196608,196608,196608,196608,196608,196608,196608,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,196608,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,393216,458752,458752,458752,458752,327680,327680,327680,327680,327680,327680,327680,327680,327680,,,,,",310,0,0,0,0,0,0,0,6,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,0,8091,21335,47007,47130,47447,47796,47918,48229,48572,48693,48998,49336,49456,49755,50088,50207,50500,50829,50947,51235,51559,52425,52049,51599,51148,50971,50907,51075,51573,48140,54400,55530,56269,57249,58502,59618,61104,62292,63994,65602,67375,69062,70861,72617,74277,76077,76302,72536,72562,72550,72543,72572,72543,72562,72553,72536,,,,,",5,1,17964,0,23,5,1271.1730555555555,4,3600,0,3439175,3686400,196608,,false,,,
1,A,basic,distributed,,,0.10.0,f460e690,2048,0,512,3,4096,95,0,"0,0,0,2,9,10,10,12,13,14,15,16,16,16,15,16,16,17,15,14,13,13,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,11,13,15,17,17,18,18,17,17,17,15,14,15,14,14,8,11,10,8,3",47,56,0,63,6,87,2486,65536,,0,,,0,,5036,"4,32",4765,"60,34",3423,1,60,5,1178577,10113,976204,2500705,65536,1024,0,0,460,",,,65536,589824,655360,655360,786432,851968,917504,983040,524288,524288,524288,491520,524288,524288,557056,491520,458752,425984,425984,294912,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,196608,360448,425984,491520,557056,557056,589824,589824,557056,557056,1114112,983040,917504,983040,917504,917504,262144,720896,655360,524288,196608",796,2295,0,0,2295,0,0,0,12,"0,0,0,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1",",,,148659,119188,149838,169984,189168,221169,240487,260256,279394,306200,327216,345477,365898,384104,411420,435199,440879,429961,472243,562542,588019,589762,589744,589726,589622,589576,589542,589484,589438,588939,589302,589447,589332,589302,589277,589265,589302,589302,589302,589302,575282,501669,463929,431879,411627,390448,375780,342737,327279,314464,281081,267337,251985,226941,238869,221759,221775,150963,127661,103073,70674",5,1,4012,0,58,5,1038.8227777777777,4,3600,0,3237330,3686400,655360,,true,,,
1,A,basic,detour,,,0.10.0,0fcddfb7,2048,0,512,3,4096,94,0,"0,0,0,0,8,9,10,12,13,14,13,14,14,14,13,14,14,15,13,12,11,11,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,9,11,12,13,15,16,16,15,16,16,16,16,15,15,14,7,11,10,8,1",102,56,0,63,6,85,2565,65536,,0,,,0,,10249,"60,34",10249,"60,34",1151,3,1151,6,4233244,9463,0,3439450,65536,1024,0,0,555,",,,,524288,589824,655360,786432,851968,917504,851968,917504,917504,917504,851968,917504,917504,983040,851968,786432,720896,720896,458752,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,524288,589824,720896,786432,851968,983040,1048576,1048576,983040,1048576,1048576,1048576,1048576,491520,983040,917504,152917,720896,655360,524288,65536",716,2719,0,0,2719,0,0,0,14,"0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1",",,,145957,128373,152064,166047,180385,210972,217402,213866,217520,242136,241538,224957,224939,249800,251103,232851,213063,200533,180557,140654,108480,105912,105701,105564,105439,105341,105254,105162,105078,104122,104896,104804,104724,104604,104544,104436,104350,104256,104167,110457,150353,177738,202553,232489,242362,253312,270066,251057,255780,269191,249986,258360,271285,252432,254902,239435,210662,153406,142098,115990,62328",5,1,3568,58,58,5,1035.9658333333334,4,3600,0,3156699,3686400,655360,,true,,,
2,A,basic,straight,,,0.10.0,3d4b3329,2048,0,512,9,4096,98,0,"0,0,0,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,5,5,5,5,5,5,5,5,5,0,0,0,0,0",20,50,0,46,63,93,2290,65536,,0,,,0,,18989,"4,32",2072,"27,32",253,7,164,2,12386763,3598,3552788,0,65536,1024,0,0,249,",,,65536,196608,196608,196608,196608,196608,196608,196608,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,393216,393216,458752,458752,458752,458752,327680,327680,327680,327680,327680,327680,327680,327680,327680,,,,,",313,0,0,0,0,0,0,0,6,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,0,8091,21335,47007,47130,47447,47796,47918,48229,48572,48693,48998,49336,49456,49755,50088,50207,50500,50829,50947,51235,51559,52425,52049,51599,51148,50971,50907,51075,51346,51742,57784,58105,58843,59696,60523,62321,63294,64439,66231,67483,68783,70748,72067,74040,75424,77277,77473,73534,73529,73534,73534,73529,73534,73534,73529,73534,,,,,",5,1,17964,0,23,5,1271.1730555555555,4,3600,0,3439184,3686400,196608,,false,,,
2,A,basic,distributed,,,0.10.0,03c806d0,2048,0,512,9,4096,95,0,"0,0,0,2,9,10,10,12,13,14,15,16,16,16,15,16,16,17,15,14,13,13,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,11,13,15,17,17,18,18,17,17,17,15,14,15,14,14,8,11,10,8,3",47,50,0,63,6,87,2486,65536,,0,,,0,,5036,"4,32",4765,"60,34",3423,1,60,5,1178577,10113,976204,2500705,65536,1024,0,0,460,",,,65536,589824,655360,655360,786432,851968,917504,983040,524288,524288,524288,491520,524288,524288,557056,491520,458752,425984,425984,294912,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,229376,196608,360448,425984,491520,557056,557056,589824,589824,557056,557056,1114112,983040,917504,983040,917504,917504,262144,720896,655360,524288,196608",796,2295,0,0,2295,0,0,0,12,"0,0,0,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1",",,,148659,119188,149838,169984,189168,221169,240487,260256,279394,306200,327216,345477,365898,384104,411420,435199,440879,429961,472243,562542,588019,589762,589744,589726,589622,589576,589542,589484,589438,589937,589302,589447,589332,589302,589277,589265,589302,589302,589302,589302,575282,501669,463929,431879,411627,390448,375780,342737,327279,314464,281081,267337,251985,226941,238869,221759,221775,150963,127661,103073,70674",5,1,4012,0,58,5,1038.8227777777777,4,3600,0,3237322,3686400,655360,,true,,,
2,A,basic,detour,,,0.10.0,0fcddfb7,2048,0,512,9,4096,94,0,"0,0,0,0,8,9,10,12,13,14,13,14,14,14,13,14,14,15,13,12,11,11,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,9,11,12,13,15,16,16,15,16,16,16,16,15,15,14,7,11,10,8,1",102,50,0,63,6,85,2565,65536,,0,,,0,,10249,"60,34",10249,"60,34",1151,3,1151,6,4233244,9463,0,3439450,65536,1024,0,0,555,",,,,524288,589824,655360,786432,851968,917504,851968,917504,917504,917504,851968,917504,917504,983040,851968,786432,720896,720896,458752,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,524288,589824,720896,786432,851968,983040,1048576,1048576,983040,1048576,1048576,1048576,1048576,491520,983040,917504,152917,720896,655360,524288,65536",716,2719,0,0,2719,0,0,0,14,"0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1",",,,145957,128373,152064,166047,180385,210972,217402,213866,217520,242136,241538,224957,224939,249800,251103,232851,213063,200533,180557,140654,108480,105912,105701,105564,105439,105341,105254,105162,105078,104122,104896,104804,104724,104604,104544,104436,104350,104256,104167,110457,150353,177738,202553,232489,242362,253312,270066,251057,255780,269191,249986,258360,271285,252432,254902,239435,210662,153406,142098,115990,62328",5,1,3568,58,58,5,1035.9658333333334,4,3600,0,3156699,3686400,655360,,true,,,
3,A,basic,straight,,,0.10.0,3d4b3329,2048,0,512,63,4096,98,0,"0,0,0,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,5,5,5,5,5,5,5,5,5,0,0,0,0,0",20,0,0,46,63,93,2290,65536,,0,,,0,,18989,"4,32",2072,"27,32",253,7,164,2,12386763,3598,3552788,0,65536,1024,0,0,249,",,,65536,196608,196608,196608,196608,196608,196608,196608,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,393216,393216,458752,458752,458752,458752,327680,327680,327680,327680,327680,327680,327680,327680,327680,,,,,",313,0,0,0,0,0,0,0,6,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,0,8091,21335,47007,47130,47447,47796,47918,48229,48572,48693,48998,49336,49456,49755,50088,50207,50500,50829,50947,51235,51559,52425,52049,51599,51148,50971,50907,51075,51346,51742,57784,58105,58843,59696,60523,62321,63294,64439,66231,67483,68783,70748,72067,74040,75424,77277,77473,73534,73529,73534,73534,73529,73534,73534,73529,73534,,,,,",5,1,17964,0,23,5,1271.1730555555555,4,3600,0,3439184,3686400,196608,,false,,,
