pointIndex,mode,runKind,inputName,perturbationPercent,perturbationIndex,engineVersion,stateHash,param.congestionReference,param.congestionWeight,param.corridorWidth,param.edgeFluxMax,param.gapWidth,param.restoreWeight,measurement.advectionShare,measurement.backflowEvents,measurement.bandCells,measurement.bandThreshold,measurement.blockedCellCount,measurement.capacityLimitedAmount,measurement.coherenceLength,measurement.coherenceLengthSigma,measurement.completionRatio,measurement.completionStep,measurement.conductanceMin,measurement.conductanceMinCell,measurement.corridorEdgeDensityMax,measurement.corridorEdgeDensityMaxCell,measurement.corridorEdgeDensityMean,measurement.corridorEdgeDensityPeak,measurement.corridorEdgeDensityPeakCell,measurement.densityMax,measurement.densityMaxCell,measurement.densityMaxExSource,measurement.densityMaxExSourceCell,measurement.densityMaxExSourceStep,measurement.densityMaxRatio,measurement.densityMaxStep,measurement.diffusionShare,measurement.fluxLimitedAmount,measurement.fluxLimitedEvents,measurement.gapThroughput.central,measurement.gapThroughput.detour,measurement.guideMagnitudeMax,measurement.injectionBase,measurement.injectionRemainder,measurement.maxStagnation,measurement.meanResidency,measurement.meanSegmentWidth,measurement.occupiedCellsPeak,measurement.outOfField,measurement.outOfFieldByEdge.bottom,measurement.outOfFieldByEdge.left,measurement.outOfFieldByEdge.right,measurement.outOfFieldByEdge.top,measurement.outOfFieldRatio,measurement.outsideCorridorCells,measurement.remainingRatio,measurement.segmentCount,measurement.sigmaProfile,measurement.sinkCellCount,measurement.sourceCellCount,measurement.sourceDensityFinal,measurement.sourceDistance.densityMax,measurement.sourceDistance.densityMaxExSource,measurement.sourceExclusionCellCount,measurement.sourceOutflowAverage,measurement.sourcePositiveScoreDirections,measurement.sourcePositiveScoreDirectionsStep,measurement.throttledEdgeCount,measurement.totalCompleted,measurement.totalInjected,measurement.w0,sensitivityBasisPoints,criterion4Dominated,criterion2MedianTwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints
0,A,basic,straight,,,0.10.0,806db743,2048,0,1,512,1,0,72,0,"0,0,0,1,3,3,3,3,3,3,3,3,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",684,58,0,14,18,46,-1,65536,,20858,"30,29",2757,21576,"31,29,3600",68499,"31,31",68499,"31,31",3600,26,3600,28,616957597,170166,1787850,0,65536,1024,0,0,2144,",,,65536,196608,196608,196608,196608,196608,196608,196608,196608,196608,327680,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,,,,,",346,0,0,0,0,0,0,0,53,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0",",,0,99956,37253,80690,84570,88057,91913,96047,100967,104235,108857,113152,116939,121239,125299,129234,132654,135821,138726,139329,139577,129078,124727,117984,110557,107648,105025,102315,101247,100673,0,11385,15272,21244,25458,27025,29553,33307,33175,36497,36072,38789,39061,42303,43053,45583,45720,47889,45534,46687,45273,46625,45254,46136,45295,45314,44992,0,31578,,,",5,1,17965,28,28,5,1271.1727777777778,4,3600,0,1730723,3686400,196608,,true,,,
0,A,basic,distributed,,,0.10.0,c436056f,2048,0,1,512,1,0,83,0,"0,0,0,5,8,9,10,12,14,15,16,18,18,18,17,18,18,18,17,16,15,14,12,12,12,12,12,12,12,12,12,12,6,8,9,10,11,11,11,11,11,11,11,12,15,17,18,18,19,19,18,19,19,17,16,15,13,13,12,5,9,7,0,0",20,58,0,63,6,87,2514,65536,,1927,"18,9",473,2044,"61,31,2460",5036,"4,32",2044,"61,31",2460,1,60,17,781376,3594,968105,2472050,65536,1024,0,0,492,",,,163840,524288,589824,655360,786432,917504,983040,1048576,1179648,589824,589824,557056,589824,589824,589824,557056,524288,491520,458752,393216,393216,393216,393216,393216,393216,393216,393216,393216,393216,196608,174762,196608,327680,360448,360448,360448,360448,360448,360448,360448,262144,491520,557056,589824,589824,622592,622592,589824,622592,1245184,1114112,1048576,983040,851968,851968,786432,163840,589824,458752,,",798,0,0,0,0,0,0,0,12,"0,0,0,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,0,0",",,,124020,112757,143451,164501,198757,218551,239844,263364,299520,320296,341904,369069,400070,426467,448578,483897,504490,513738,559102,642499,648857,648609,658799,660783,671082,677266,675132,681308,684457,606399,591859,594879,591953,604007,602187,599495,605448,606688,609276,602285,602096,541581,502864,473782,451100,422550,410066,373361,357818,342061,304549,280592,271162,234370,250905,225617,224693,162499,127461,,",5,1,4012,0,58,5,1038.8227777777777,4,3600,0,3208407,3686400,655360,,false,,,
0,A,basic,detour,,,0.10.0,6f486892,2048,0,1,512,1,0,82,0,"0,0,0,5,8,9,9,12,13,13,12,13,13,13,12,13,13,13,12,11,10,9,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,8,9,10,12,13,13,14,14,13,14,14,13,14,14,13,13,12,5,9,7,0,0",31,58,0,63,6,85,2577,65536,,2260,"61,29",891,3156,"19,9,1246",4592,"4,32",3156,"19,9",1246,1,53,18,407091,4489,0,3424750,65536,1024,0,0,570,",,,163840,524288,589824,589824,786432,851968,851968,786432,851968,851968,851968,786432,851968,851968,851968,786432,720896,655360,589824,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,327680,458752,458752,458752,458752,458752,458752,458752,458752,458752,524288,589824,655360,786432,851968,851968,917504,917504,851968,917504,917504,851968,917504,917504,851968,851968,786432,163840,589824,458752,,",587,0,0,0,0,0,0,0,14,"0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0",",,,117274,116619,143741,159666,187292,214668,232300,220243,238631,244072,249433,224879,241658,248447,255662,235890,215171,195683,179631,139494,135561,136634,132740,136627,132103,138538,132304,131745,137463,102364,120586,118709,121471,118497,120280,118619,117924,120580,117222,129077,149755,185499,226948,234624,238425,255435,258384,239433,259591,260335,245891,264621,272709,249887,259080,242332,219042,162062,129862,,",5,1,3568,0,38,5,1035.9658333333334,4,3600,0,3144794,3686400,589824,,true,,,
1,A,basic,straight,,,0.10.0,e7d136de,2048,0,1,512,3,0,95,0,"0,0,0,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,5,0,0",20,56,0,33,59,93,2299,65536,,344,"46,29",87,374,"46,29,1238",18989,"4,32",2072,"27,32",253,7,164,5,12386763,3598,3552689,0,65536,1024,0,0,259,",,,65536,196608,196608,196608,196608,196608,196608,196608,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,327680,196608,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,65536,458752,327680,,",343,0,0,0,0,0,0,0,6,"0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0",",,0,8091,21335,47007,47130,47447,47796,47918,48229,48572,48693,48998,49336,49456,49755,50088,50207,50500,50829,50947,51235,51559,52425,52049,51599,51148,50971,50907,51075,51573,48140,66498,71109,70734,72091,77277,74866,77044,83832,81680,85594,89400,91631,92838,93946,94377,94494,93180,88552,92129,86028,84498,87893,82938,84814,80324,80673,196399,121806,91653,,",5,1,17964,0,23,5,1271.1730555555555,4,3600,0,3429357,3686400,196608,,false,,,
1,A,basic,distributed,,,0.10.0,d2c0c1ca,2048,0,1,512,3,0,84,0,"0,0,0,5,8,9,10,12,13,14,15,17,17,17,16,17,17,17,16,15,14,13,11,11,11,11,11,11,11,11,11,11,7,10,10,11,10,10,11,10,11,11,11,12,15,17,18,18,19,19,18,19,19,17,16,15,13,13,12,5,9,7,0,0",20,56,0,63,6,87,2501,65536,,1917,"18,9",455,2042,"61,31,1926",5036,"4,32",2042,"61,31",1926,1,60,16,781376,3594,1008688,2451304,65536,1024,0,0,479,",,,163840,524288,589824,655360,786432,851968,917504,983040,1114112,557056,557056,524288,557056,557056,557056,524288,491520,458752,425984,360448,360448,360448,360448,360448,360448,360448,360448,360448,360448,229376,327680,327680,360448,327680,327680,360448,327680,360448,360448,360448,262144,491520,557056,589824,589824,622592,622592,589824,622592,1245184,1114112,1048576,983040,851968,851968,786432,163840,589824,458752,,",774,0,0,0,0,0,0,0,12,"0,0,0,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,0,0",",,,124020,112757,143524,163782,197811,216850,238387,261480,297230,317010,337355,355182,394430,409200,425485,463716,466112,486247,513562,602329,590149,590185,593475,594924,590852,592403,579783,595625,589896,599593,615644,617135,617542,616246,619121,617055,619585,616294,616853,618931,607729,549773,516261,476425,450269,426086,400243,369029,346618,332578,291016,274808,262416,229258,242032,232265,203641,164104,132791,,",5,1,4012,0,58,5,1038.8227777777777,4,3600,0,3222942,3686400,655360,,true,,,
1,A,basic,detour,,,0.10.0,6f486892,2048,0,1,512,3,0,82,0,"0,0,0,5,8,9,9,12,13,13,12,13,13,13,12,13,13,13,12,11,10,9,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,8,9,10,12,13,13,14,14,13,14,14,13,14,14,13,13,12,5,9,7,0,0",31,56,0,63,6,85,2577,65536,,2260,"61,29",891,3156,"19,9,1246",4592,"4,32",3156,"19,9",1246,1,53,18,407091,4489,0,3424750,65536,1024,0,0,570,",,,163840,524288,589824,589824,786432,851968,851968,786432,851968,851968,851968,786432,851968,851968,851968,786432,720896,655360,589824,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,327680,458752,458752,458752,458752,458752,458752,458752,458752,458752,524288,589824,655360,786432,851968,851968,917504,917504,851968,917504,917504,851968,917504,917504,851968,851968,786432,163840,589824,458752,,",587,0,0,0,0,0,0,0,14,"0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0",",,,117274,116619,143741,159666,187292,214668,232300,220243,238631,244072,249433,224879,241658,248447,255662,235890,215171,195683,179631,139494,135561,136634,132740,136627,132103,138538,132304,131745,137463,102364,120586,118709,121471,118497,120280,118619,117924,120580,117222,129077,149755,185499,226948,234624,238425,255435,258384,239433,259591,260335,245891,264621,272709,249887,259080,242332,219042,162062,129862,,",5,1,3568,0,38,5,1035.9658333333334,4,3600,0,3144794,3686400,589824,,true,,,
2,A,basic,straight,,,0.10.0,f25145ae,2048,0,1,512,9,0,94,0,"0,0,0,1,3,3,3,3,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,5,0,0",20,50,0,13,59,92,2303,65536,,356,"45,29",110,391,"47,29,2415",18989,"4,32",2076,"27,32",927,7,164,6,12386762,3598,3601182,0,65536,1024,0,0,262,",,,65536,196608,196608,196608,196608,131072,327680,393216,393216,393216,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,65536,458752,327680,,",407,0,0,0,0,0,0,0,7,"0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0",",,0,30158,22014,49344,49888,50766,51640,51446,52648,52969,53319,53855,54340,55167,55837,55897,56732,57175,57760,58291,59028,59655,60684,60360,60426,60167,60570,60831,62209,62931,66985,69919,75018,73533,79046,77407,83248,81129,87424,84886,91230,88349,91081,93806,94326,94475,94355,93741,91036,90037,89226,86314,84861,85801,84445,81308,82557,195857,120968,91569,,",5,1,17965,0,23,5,1271.1727777777778,4,3600,0,3425980,3686400,196608,,false,,,
2,A,basic,distributed,,,0.10.0,30cde9a5,2048,0,1,512,9,0,84,0,"0,0,0,5,8,9,10,12,13,14,15,17,17,17,16,17,17,17,16,15,14,13,11,11,11,11,11,11,11,11,11,11,9,10,10,10,11,11,11,11,11,10,11,11,15,17,17,18,19,19,18,19,19,17,16,15,13,13,12,5,9,7,0,0",20,50,0,63,6,87,2503,65536,,1916,"18,9",457,2012,"61,31,1248",5036,"4,32",2012,"61,31",1248,1,60,16,781376,3594,1069727,2462707,65536,1024,0,0,478,",,,163840,524288,589824,655360,786432,851968,917504,983040,1114112,557056,557056,524288,557056,557056,557056,524288,491520,458752,425984,360448,360448,360448,360448,360448,360448,360448,360448,360448,360448,294912,327680,327680,327680,360448,360448,360448,360448,360448,327680,360448,360448,491520,557056,557056,589824,622592,622592,589824,622592,1245184,1114112,1048576,983040,851968,851968,786432,163840,589824,458752,,",780,0,0,0,0,0,0,0,12,"0,0,0,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,0,0",",,,124020,112757,143369,163739,198616,218015,238765,260107,297613,315323,336271,362580,388849,414033,431942,464141,466521,487446,513093,590784,593151,589974,590248,586363,591003,577635,587214,574210,585078,619472,601080,601392,606672,606545,610126,610375,615370,606118,615684,605882,609853,544767,511162,473044,454690,419154,404678,367260,351859,332670,289726,275484,264265,231256,244587,231820,215722,165058,128992,,",5,1,4012,0,58,5,1038.8227777777777,4,3600,0,3222443,3686400,655360,,true,,,
2,A,basic,detour,,,0.10.0,6f486892,2048,0,1,512,9,0,82,0,"0,0,0,5,8,9,9,12,13,13,12,13,13,13,12,13,13,13,12,11,10,9,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,8,9,10,12,13,13,14,14,13,14,14,13,14,14,13,13,12,5,9,7,0,0",31,50,0,63,6,85,2577,65536,,2260,"61,29",891,3156,"19,9,1246",4592,"4,32",3156,"19,9",1246,1,53,18,407091,4489,0,3424750,65536,1024,0,0,570,",,,163840,524288,589824,589824,786432,851968,851968,786432,851968,851968,851968,786432,851968,851968,851968,786432,720896,655360,589824,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,327680,458752,458752,458752,458752,458752,458752,458752,458752,458752,524288,589824,655360,786432,851968,851968,917504,917504,851968,917504,917504,851968,917504,917504,851968,851968,786432,163840,589824,458752,,",587,0,0,0,0,0,0,0,14,"0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0",",,,117274,116619,143741,159666,187292,214668,232300,220243,238631,244072,249433,224879,241658,248447,255662,235890,215171,195683,179631,139494,135561,136634,132740,136627,132103,138538,132304,131745,137463,102364,120586,118709,121471,118497,120280,118619,117924,120580,117222,129077,149755,185499,226948,234624,238425,255435,258384,239433,259591,260335,245891,264621,272709,249887,259080,242332,219042,162062,129862,,",5,1,3568,0,38,5,1035.9658333333334,4,3600,0,3144794,3686400,589824,,true,,,
3,A,basic,straight,,,0.10.0,f25145ae,2048,0,1,512,63,0,94,0,"0,0,0,1,3,3,3,3,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,5,0,0",20,0,0,13,59,92,2303,65536,,356,"45,29",110,391,"47,29,2415",18989,"4,32",2076,"27,32",927,7,164,6,12386762,3598,3601182,0,65536,1024,0,0,262,",,,65536,196608,196608,196608,196608,131072,327680,393216,393216,393216,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,458752,65536,458752,327680,,",407,0,0,0,0,0,0,0,7,"0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0",",,0,30158,22014,49344,49888,50766,51640,51446,52648,52969,53319,53855,54340,55167,55837,55897,56732,57175,57760,58291,59028,59655,60684,60360,60426,60167,60570,60831,62209,62931,66985,69919,75018,73533,79046,77407,83248,81129,87424,84886,91230,88349,91081,93806,94326,94475,94355,93741,91036,90037,89226,86314,84861,85801,84445,81308,82557,195857,120968,91569,,",5,1,17965,0,23,5,1271.1727777777778,4,3600,0,3425980,3686400,196608,,false,,,
