step,completed,outOfField,remaining,gapThroughput.central,gapThroughput.detour,blockedFrontDensityMax,densityMaxExSource,occupiedCells
100,0,0,102400,1392,0,454,2039,95
200,1309,0,203491,47050,0,3843,11383,284
300,41551,0,265649,98250,0,11651,16811,390
400,92451,0,317149,149450,0,18988,21177,424
500,143357,0,368643,200650,0,22281,22954,435
600,194385,0,420015,251850,0,24796,25282,443
700,245529,0,471271,303050,0,27185,27438,443
800,296682,0,522518,354250,0,28935,29037,449
900,347838,0,573762,405450,0,30403,30456,449
1000,399027,0,624973,456650,0,31549,31549,449
1100,450220,0,676180,507850,0,32560,32560,449
1200,501415,0,727385,559050,0,33692,33692,449
1300,552625,0,778575,610250,0,34818,34818,449
1400,603819,0,829781,661450,0,35782,35782,449
1500,655022,0,880978,712650,0,36515,36515,449
1600,706216,0,932184,763850,0,37320,37320,449
1700,757424,0,983376,815050,0,38071,38071,449
1800,808612,0,1034588,866250,0,38733,38733,449
1900,859814,0,1085786,917450,0,39445,39445,449
2000,911011,0,1136989,968650,0,40063,40063,449
2100,962215,0,1188185,1019850,0,40662,40662,449
2200,1013414,0,1239386,1071050,0,41350,41350,449
2300,1064615,0,1290585,1122250,0,41912,41912,449
2400,1115810,0,1341790,1173450,0,42638,42638,449
2500,1167014,0,1392986,1224650,0,43396,43396,450
2600,1218208,0,1444192,1275850,0,44264,44264,450
2700,1269405,0,1495395,1327050,0,44945,44945,450
2800,1320600,0,1546600,1378250,0,45710,45710,450
2900,1371817,0,1597783,1429450,0,46409,46409,450
3000,1423021,0,1648979,1480650,0,47139,47139,450
3100,1474215,0,1700185,1531850,0,47886,47886,450
3200,1525402,0,1751398,1583050,0,48739,48739,450
3300,1576609,0,1802591,1634250,0,49438,49438,450
3400,1627811,0,1853789,1685450,0,50191,50191,450
3500,1679010,0,1904990,1736650,0,50876,50876,450
3600,1730200,0,1956200,1787850,0,51512,51512,450
