corridorWidth,distance,cells,density
1,0,602,370893
1,1,226,107100
1,2,221,0
1,3,216,0
1,4,200,0
1,5,192,0
1,6,183,0
1,7,174,0
1,8,166,0
1,9,131,0
1,10,130,0
1,11,102,0
1,12,100,0
1,13,96,0
1,14,94,0
1,15,92,0
1,16,89,0
1,17,86,0
1,18,84,0
1,19,82,0
1,20,80,0
1,21,78,0
1,22,76,0
1,23,74,0
1,24,72,0
1,25,70,0
1,26,68,0
1,27,66,0
1,28,64,0
1,29,63,0
1,30,55,0
1,31,4,0
1,32,2,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
1,51,0,0
1,52,0,0
1,53,0,0
1,54,0,0
1,55,0,0
1,56,0,0
1,57,0,0
1,58,0,0
1,59,0,0
1,60,0,0
1,61,0,0
1,62,0,0
1,63,0,0
1,64,0,0
2,0,602,378197
2,1,226,120232
2,2,221,116479
2,3,216,0
2,4,200,0
2,5,192,0
2,6,183,0
2,7,174,0
2,8,166,0
2,9,131,0
2,10,130,0
2,11,102,0
2,12,100,0
2,13,96,0
2,14,94,0
2,15,92,0
2,16,89,0
2,17,86,0
2,18,84,0
2,19,82,0
2,20,80,0
2,21,78,0
2,22,76,0
2,23,74,0
2,24,72,0
2,25,70,0
2,26,68,0
2,27,66,0
2,28,64,0
2,29,63,0
2,30,55,0
2,31,4,0
2,32,2,0
2,33,0,0
2,34,0,0
2,35,0,0
2,36,0,0
2,37,0,0
2,38,0,0
2,39,0,0
2,40,0,0
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
2,51,0,0
2,52,0,0
2,53,0,0
2,54,0,0
2,55,0,0
2,56,0,0
2,57,0,0
2,58,0,0
2,59,0,0
2,60,0,0
2,61,0,0
2,62,0,0
2,63,0,0
2,64,0,0
8,0,602,389590
8,1,226,120374
8,2,221,123973
8,3,216,120240
8,4,200,112789
8,5,192,109805
8,6,183,104911
8,7,174,99694
8,8,166,94581
8,9,131,0
8,10,130,0
8,11,102,0
8,12,100,0
8,13,96,0
8,14,94,0
8,15,92,0
8,16,89,0
8,17,86,0
8,18,84,0
8,19,82,0
8,20,80,0
8,21,78,0
8,22,76,0
8,23,74,0
8,24,72,0
8,25,70,0
8,26,68,0
8,27,66,0
8,28,64,0
8,29,63,0
8,30,55,0
8,31,4,0
8,32,2,0
8,33,0,0
8,34,0,0
8,35,0,0
8,36,0,0
8,37,0,0
8,38,0,0
8,39,0,0
8,40,0,0
8,41,0,0
8,42,0,0
8,43,0,0
8,44,0,0
8,45,0,0
8,46,0,0
8,47,0,0
8,48,0,0
8,49,0,0
8,50,0,0
8,51,0,0
8,52,0,0
8,53,0,0
8,54,0,0
8,55,0,0
8,56,0,0
8,57,0,0
8,58,0,0
8,59,0,0
8,60,0,0
8,61,0,0
8,62,0,0
8,63,0,0
8,64,0,0
128,0,602,364201
128,1,226,103149
128,2,221,107359
128,3,216,102066
128,4,200,95220
128,5,192,94196
128,6,183,88567
128,7,174,83884
128,8,166,80563
128,9,131,64868
128,10,130,63410
128,11,102,42764
128,12,100,39864
128,13,96,35554
128,14,94,36407
128,15,92,33992
128,16,89,31067
128,17,86,28591
128,18,84,28594
128,19,82,25932
128,20,80,24568
128,21,78,21983
128,22,76,21652
128,23,74,19310
128,24,72,18494
128,25,70,16990
128,26,68,15281
128,27,66,13409
128,28,64,12102
128,29,63,11341
128,30,55,9685
128,31,4,864
128,32,2,326
128,33,0,0
128,34,0,0
128,35,0,0
128,36,0,0
128,37,0,0
128,38,0,0
128,39,0,0
128,40,0,0
128,41,0,0
128,42,0,0
128,43,0,0
128,44,0,0
128,45,0,0
128,46,0,0
128,47,0,0
128,48,0,0
128,49,0,0
128,50,0,0
128,51,0,0
128,52,0,0
128,53,0,0
128,54,0,0
128,55,0,0
128,56,0,0
128,57,0,0
128,58,0,0
128,59,0,0
128,60,0,0
128,61,0,0
128,62,0,0
128,63,0,0
128,64,0,0
