case,step,completed,outOfField,remaining,sinkThroughput.upper,sinkThroughput.lower,gapThroughput.upper,gapThroughput.lower,blockedFrontDensityMax,densityMaxExSource,occupiedCells
default,100,0,86,102314,0,0,0,0,26,3343,640
default,200,0,1290,203510,0,0,14485,2395,500,3343,1389
default,300,4845,4333,298022,4694,151,56705,13783,660,3343,2339
default,400,23794,20492,365314,21546,2248,107250,31649,735,3343,3137
default,500,47893,50558,413549,42077,5816,161991,53780,840,3343,3451
default,600,74776,92074,447550,64382,10394,219332,78500,888,3343,3584
default,700,103215,141553,472032,87627,15588,278324,104654,877,3343,3678
default,800,132724,196444,490032,111548,21176,338427,131560,878,3343,3758
default,900,162705,255031,503864,135829,26876,399295,159088,899,3343,3802
default,1000,193131,316301,514568,160429,32702,459675,186250,950,3343,3837
default,1100,223652,379277,523471,184980,38672,520304,214026,873,3343,3880
default,1200,254217,443649,530934,209545,44672,581248,242000,939,3343,3927
default,1300,284973,509569,536658,234226,50747,642185,270075,989,3343,3950
default,1400,315734,576187,541679,258874,56860,703168,298295,931,3343,3968
default,1500,346546,643624,545830,283535,63011,764571,326277,972,3343,3991
default,1600,377540,711669,549191,308358,69182,826227,354673,885,3343,3997
default,1700,408628,780554,551618,333249,75379,887373,383177,959,3343,4002
default,1800,439614,850016,553570,358054,81560,949039,411273,960,3343,4002
default,1900,470781,919730,555089,383021,87760,1010945,439316,909,3343,4004
default,2000,501990,989867,556143,408062,93928,1072688,467549,1021,3343,4004
default,2100,533124,1060250,557026,433052,100072,1134220,495611,1005,3343,4004
default,2200,564180,1130570,558050,457937,106243,1195578,523956,889,3343,4004
default,2300,595275,1200910,559015,482832,112443,1257314,552461,972,3343,4004
default,2400,626466,1271545,559589,507823,118643,1318851,580599,922,3343,4004
default,2500,657553,1342222,560225,532727,124826,1380947,608888,884,3343,4006
default,2600,688866,1413160,560374,557840,131026,1442195,637444,923,3343,4006
default,2700,719957,1483887,560956,582731,137226,1503640,665974,983,3343,4006
default,2800,751077,1554708,561415,607651,143426,1565360,694099,974,3343,4006
default,2900,782238,1625949,561413,632633,149605,1626820,722505,897,3343,4006
default,3000,813334,1696938,561728,657558,155776,1688510,750668,954,3343,4006
default,3100,844415,1767932,562053,682539,161876,1750441,778586,949,3343,4006
default,3200,875649,1838930,562221,707631,168018,1812438,807118,987,3343,4006
default,3300,906937,1910103,562160,732731,174206,1874363,835158,932,3343,4006
default,3400,938181,1981199,562220,757819,180362,1935854,863510,866,3343,4006
default,3500,969298,2052648,562054,782770,186528,1997290,891622,894,3343,4006
default,3600,1000364,2123898,562138,807670,192694,2058670,919916,1008,3343,4006
corridor2,100,0,0,102400,0,0,0,0,1,1888,452
corridor2,200,0,0,204800,0,0,13995,1864,672,1891,805
corridor2,300,4867,0,302333,4406,461,61723,15923,893,1891,1018
corridor2,400,27124,0,382476,22352,4772,123212,39533,920,1891,1060
corridor2,500,56542,0,455458,44932,11610,192136,68438,1015,1891,1060
corridor2,600,89286,0,525114,69621,19665,264856,99967,1045,2539,1060
corridor2,700,123990,0,592810,95810,28180,338510,133258,1126,3337,1060
corridor2,800,160234,0,658966,122947,37287,412508,167913,1061,4377,1060
corridor2,900,199269,0,722331,151938,47331,488806,204136,1102,5361,1060
corridor2,1000,243113,0,780887,184514,58599,566344,241591,1134,5973,1060
corridor2,1100,291593,0,834807,220442,71151,644042,279211,1203,6769,1060
corridor2,1200,344866,0,883934,259609,85257,722475,317252,1466,7050,1060
corridor2,1300,403651,0,927549,302096,101555,801089,355638,1072,7695,1060
corridor2,1400,467821,0,965779,347879,119942,878988,394236,1096,8048,1060
corridor2,1500,536867,0,999133,396468,140399,957437,432424,1148,8620,1060
corridor2,1600,610396,0,1028004,447819,162577,1035863,471135,1369,8773,1060
corridor2,1700,688111,0,1052689,501784,186327,1114624,509904,1522,9120,1060
corridor2,1800,769395,0,1073805,558024,211371,1193157,548845,1364,9263,1060
corridor2,1900,853776,0,1091824,615959,237817,1271348,587736,1399,9553,1060
corridor2,2000,940999,0,1107001,676022,264977,1349540,627006,1175,9622,1060
corridor2,2100,1030418,0,1119982,737119,293299,1427099,666481,1525,9871,1060
corridor2,2200,1121479,0,1131321,799527,321952,1505251,706156,1364,9918,1060
corridor2,2300,1214297,0,1140903,862980,351317,1583610,745519,1314,10012,1060
corridor2,2400,1307876,0,1149724,926616,381260,1661780,785543,1303,10001,1060
corridor2,2500,1402663,0,1157337,990732,411931,1739616,824687,1343,10132,1060
corridor2,2600,1498108,0,1164292,1055396,442712,1818668,864859,1376,10217,1060
corridor2,2700,1594123,0,1170677,1120160,473963,1897008,904601,1393,10331,1060
corridor2,2800,1690222,0,1176978,1184947,505275,1975546,945186,1382,10307,1060
corridor2,2900,1786799,0,1182801,1249923,536876,2054874,984939,1466,10274,1060
corridor2,3000,1883948,0,1188052,1315104,568844,2134061,1025543,1489,10334,1060
corridor2,3100,1981340,0,1193060,1380493,600847,2212576,1065617,1344,10492,1060
corridor2,3200,2079108,0,1197692,1446153,632955,2290795,1105757,1368,10439,1060
corridor2,3300,2177314,0,1201886,1512021,665293,2369539,1145777,1254,10585,1060
corridor2,3400,2276142,0,1205458,1578172,697970,2448935,1186152,1600,10619,1060
corridor2,3500,2374359,0,1209641,1644235,730124,2528393,1226472,1420,10661,1060
corridor2,3600,2472989,0,1213411,1710469,762520,2608089,1266494,1633,10707,1060
